State,State Abbreviation,District Number,Congressional District,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Men,Women,Above Poverty Level,Below Poverty Level,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic
Illinois,IL,2,IL-2,497132,105903,115395,166767,109067,220603,276529,489594,77321,15982,37616,154265,144163,38427,65329,41350,443534,106679,184077,286699,3837,N,N,13687,8271,47560,152127
Illinois,IL,3,IL-3,479004,96642,116060,166940,99362,239389,239615,470227,40182,20411,31844,138119,113600,36894,86940,51196,426749,138136,388095,28953,18100,N,N,33685,8549,119520,307829
Illinois,IL,4,IL-4,410804,114380,124459,112782,59183,198815,211989,408610,43427,31711,31795,116237,86500,26307,79404,38850,347298,118254,263899,21445,15798,N,N,94954,11535,235867,136168
Illinois,IL,5,IL-5,545831,138945,163400,153707,89779,264796,281035,536884,38711,13658,20600,88159,86996,30022,190524,115872,511573,306396,451514,17468,40455,N,N,21802,13489,85662,392080
Illinois,IL,6,IL-6,523796,89576,115611,203470,115139,256062,267734,515795,25904,5724,14778,92688,104221,42065,163509,100811,503294,264320,453389,13529,40400,N,N,8646,7143,36875,426440
Illinois,IL,7,IL-7,522767,133525,142887,152762,93593,245563,277204,499676,89468,19914,44571,126591,97863,29955,114874,88999,458282,203873,204321,255621,30224,N,N,22351,9244,61198,168814
Illinois,IL,8,IL-8,442009,97404,105383,149266,89956,210434,231575,437858,27635,14574,25703,112359,104972,36554,101932,45915,401732,147847,319860,24958,52467,2941,N,31933,8978,83841,272278
Illinois,IL,9,IL-9,498242,91913,116876,169788,119665,242188,256054,482383,49348,12446,18151,75642,89548,25709,158190,118556,467645,276746,378283,40709,53819,N,N,9728,13558,40177,350915
Illinois,IL,10,IL-10,468255,99179,100085,164232,104759,228987,239268,449762,31798,11965,23059,103944,94552,28798,120239,85698,433231,205937,359174,32093,40923,N,N,23646,9998,69857,317181
Illinois,IL,11,IL-11,472244,104470,115271,167620,84883,230365,241879,466570,30188,17113,25704,122116,112340,38441,102807,53723,429427,156530,350208,56989,28548,N,N,21801,12108,90099,285959
Illinois,IL,12,IL-12,528398,105402,123904,181641,117451,258312,270086,510485,72726,13675,43253,158926,138129,58073,70358,45984,471470,116342,425034,87619,4299,N,N,2915,7612,11072,417471
Illinois,IL,13,IL-13,539012,143933,119427,165322,110330,262945,276067,503603,81940,8353,36483,159955,150405,44338,87182,52296,494176,139478,457815,55609,12809,N,N,3085,9002,13293,447847
Illinois,IL,14,IL-14,525729,91105,132209,201495,100920,258410,267319,523009,22704,7422,19212,124492,117595,46380,132966,77662,499095,210628,472453,19037,18027,N,N,7266,7879,47421,436299
Illinois,IL,15,IL-15,532371,95218,121442,182004,133707,263271,269100,509784,63091,17323,36130,182687,131779,65834,65766,32852,478918,98618,498724,23257,2379,N,N,N,5060,8780,492449
Illinois,IL,16,IL-16,520730,103375,109416,184379,123560,258813,261917,504555,45055,11612,35477,173370,131365,51308,77192,40406,473641,117598,481303,18598,4825,N,N,6132,8970,34243,455096
Illinois,IL,17,IL-17,512994,101060,111726,174240,125968,250502,262492,492760,66654,12791,41460,180323,135030,49490,64298,29602,458743,93900,436689,56123,3645,N,N,5888,9162,30558,414483
Illinois,IL,18,IL-18,531334,95626,121408,181679,132621,256746,274588,513739,50132,7398,26188,161404,123574,51059,103186,58525,497748,161711,492886,20368,7649,N,N,1979,7367,10712,484911
Indiana,IN,1,IN-1,537218,106269,125653,188611,116685,259331,277887,522771,58981,15827,39082,203110,119820,42828,75903,40648,482309,116551,388801,95275,5621,N,N,32900,12837,68346,359444
Indiana,IN,2,IN-2,522778,110898,118188,175795,117897,254316,268462,503831,55923,21594,47509,184043,114242,41276,74939,39175,453675,114114,464810,34112,4240,N,N,8190,10664,30045,444280
Indiana,IN,3,IN-3,540022,111370,129229,184607,114816,263081,276941,529139,47924,24962,39506,181653,118858,54516,80216,40311,475554,120527,485809,31233,7902,N,N,4083,8785,19057,471761
Indiana,IN,4,IN-4,567094,133208,127470,189264,117152,281136,285958,541335,57075,10609,44664,185184,144319,42189,94729,45400,511821,140129,519827,22611,9335,N,N,6323,8502,19357,507113
Indiana,IN,5,IN-5,573500,111187,147605,199662,115046,273289,300211,559314,45920,7874,31757,132283,111666,41307,159493,89120,533869,248613,495800,49657,13525,N,N,3287,10171,16793,482778
Indiana,IN,6,IN-6,549035,115411,116898,189917,126809,267782,281253,529878,67700,14539,44936,211907,123259,46997,70573,36824,489560,107397,521923,15390,3001,N,N,1555,7017,7943,516121
Indiana,IN,7,IN-7,521076,128612,133507,167449,91508,242838,278238,509529,77616,19219,55057,165068,121074,39679,83617,37362,446800,120979,334915,153947,9284,N,N,8171,13654,27661,317307
Indiana,IN,8,IN-8,549149,110466,125872,188624,124187,270738,278411,525125,62903,13854,44235,199238,126328,55295,74429,35770,491060,110199,513979,24085,2922,N,N,N,6394,6219,509455
Indiana,IN,9,IN-9,575308,132059,135378,189052,118819,279976,295332,553531,64247,13440,45094,184388,136666,51280,93652,50788,516774,144440,537099,17405,9208,N,N,2439,9017,10686,529111
Iowa,IA,1,IA-1,580187,120677,129269,191851,138390,284027,296160,558232,56396,10403,31841,186334,139524,66233,103434,42418,537943,145852,544059,18913,5771,2913,N,2226,6003,12775,534607
Iowa,IA,2,IA-2,581525,126756,130205,191051,133513,284369,297156,560199,62112,14502,32181,181637,138368,62570,100403,51864,534842,152267,543484,16740,8292,N,N,3287,7926,22758,525125
Iowa,IA,3,IA-3,601044,121087,155881,201136,122940,292105,308939,588009,51444,10445,27957,165086,130362,67070,143505,56619,562642,200124,557742,18169,10725,N,N,3156,9832,24306,537428
Iowa,IA,4,IA-4,564463,122947,118353,182759,140404,278749,285714,536367,55271,13685,26732,181685,142529,71368,92602,35862,524046,128464,538737,7067,6745,N,N,2747,6482,23431,519370
Kansas,KS,1,KS-1,502712,127140,106367,154679,114526,254352,248360,474980,57226,12442,31720,141894,148118,49034,79479,40025,458550,119504,459774,16454,5479,N,N,7033,11137,49522,421084
Kansas,KS,2,KS-2,538594,119299,123546,172970,122779,266041,272553,513794,70225,10243,29071,166239,145338,44292,89919,53492,499280,143411,479401,25593,4770,9172,N,3888,16061,25560,462082
Kansas,KS,3,KS-3,534532,103498,139817,184931,106286,258428,276104,529568,31937,6396,21154,103781,110692,44127,160373,88009,506982,248382,453444,43636,17327,N,N,5759,12194,33071,429303
Kansas,KS,4,KS-4,515676,107482,122563,172400,113231,253444,262232,503367,54144,12731,29123,141880,136403,51216,93325,50998,473822,144323,437657,35546,11977,6166,N,10061,14743,38949,412175
Kentucky,KY,1,KY-1,552530,112558,119362,187927,132683,269167,283363,528102,82046,26266,50054,213537,125821,45881,55668,35303,476210,90971,500034,38384,2432,N,N,N,8582,10548,492760
Kentucky,KY,2,KY-2,577362,121167,134374,198804,123017,282075,295287,557689,78440,22663,45724,208390,137329,52998,67449,42809,508975,110258,530370,28032,4163,N,N,2796,9872,10258,524442
Kentucky,KY,3,KY-3,553926,117509,132285,185157,118975,261136,292790,541159,68708,14480,38084,148675,132071,46423,106700,67493,501362,174193,410943,117485,10669,N,N,3796,9967,13047,401441
Kentucky,KY,4,KY-4,565232,109560,137967,201182,116523,277020,288212,551490,55545,16810,35959,179790,131274,46361,95591,59447,512463,155038,532650,19105,3944,N,N,1600,7153,9796,525001
Kentucky,KY,5,KY-5,537877,102630,123765,189523,121959,263796,274081,517228,124355,50910,62212,210309,107623,38928,36855,31040,424755,67895,525043,7435,N,N,N,N,N,2761,523013
Kentucky,KY,6,KY-6,581992,139582,135939,192089,114382,279091,302901,560860,74703,18838,40094,165357,140327,47850,101591,67935,523060,169526,510833,50296,6486,N,N,2552,11851,9886,504284
Louisiana,LA,1,LA-1,594231,118153,143712,203742,128624,282992,311239,582654,66838,22976,46326,181597,133569,37836,113783,58144,524929,171927,481558,83543,10143,7301,N,4112,7990,32247,456106
Louisiana,LA,2,LA-2,587115,124974,151730,196900,113511,273178,313937,567296,113301,18967,72122,187613,144049,33507,84066,46791,496026,130857,196226,365548,9691,N,N,5976,8638,20855,183058
Louisiana,LA,3,LA-3,577604,122302,146926,193990,114386,275886,301718,566763,86760,28375,61411,212519,128338,31824,81119,34018,487818,115137,420921,140311,4398,N,N,2350,8333,14482,409305
Louisiana,LA,4,LA-4,559310,119926,138312,178958,122114,272704,286606,540960,104441,19471,60020,216739,118730,43715,67763,32872,479819,100635,349404,188481,4016,N,N,4193,9015,15146,340455
Louisiana,LA,5,LA-5,555804,113240,138593,182823,121148,274214,281590,513602,103696,26500,70036,217657,125996,29380,58938,27297,459268,86235,351763,191610,2581,N,N,2772,5996,8930,345989
Louisiana,LA,6,LA-6,585015,138843,145438,186354,114380,276949,308066,575426,60246,16394,40897,183341,145679,35651,107690,55363,527724,163053,427098,135054,7651,N,N,2631,9963,13388,417345
Maine,ME,1,ME-1,546625,91423,120900,196768,137534,262366,284259,533126,46725,9218,21182,148584,118434,49043,125615,74549,516225,200164,523065,4832,6318,N,N,N,9504,9152,516350
Maine,ME,2,ME-2,524036,90205,106404,191578,135849,256001,268035,509879,67713,15382,31342,193922,118291,50258,79583,35258,477312,114841,504203,3444,2111,4657,N,N,9244,5918,500004
Maryland,MD,1,MD-1,567926,102678,117878,209151,138219,274632,293294,552884,42578,11726,37787,177042,127075,41891,105136,67269,518413,172405,479256,67759,8288,N,N,2982,8731,13559,470557
Maryland,MD,2,MD-2,560167,120269,143100,189658,107140,260668,299499,543593,51775,16574,34985,161499,129727,41263,101022,75097,508608,176119,323003,188784,24835,N,N,6579,15272,24317,309612
Maryland,MD,3,MD-3,545892,118771,138350,177240,111531,264371,281521,528919,36310,10209,25162,111377,105942,34241,143984,114977,510521,258961,369823,118047,34330,N,N,8064,13885,28000,354564
Maryland,MD,4,MD-4,503398,93014,125012,185566,99806,233987,269411,499442,29106,11427,27961,129278,123933,34678,106875,69246,464010,176121,156560,294846,13788,N,N,23279,14139,38317,145950
Maryland,MD,5,MD-5,556897,121543,123848,208003,103503,266835,290062,538164,32040,9108,26920,150696,140038,39331,113166,77638,520869,190804,280604,223875,21240,N,N,12694,16235,29866,267368
Maryland,MD,6,MD-6,523698,100520,123665,186857,112656,256158,267540,503145,41902,11779,27784,131280,104816,41238,114476,92325,484135,206801,379330,70654,46840,N,N,10979,13954,43603,351139
Maryland,MD,7,MD-7,528398,115519,121941,180162,110776,244249,284149,509441,70189,14993,42520,138110,111925,31056,103203,86591,470885,189794,199610,283515,26141,N,N,3712,13432,14254,191424
Maryland,MD,8,MD-8,533774,95529,126983,190413,120849,255084,278690,525419,27438,12011,22567,89808,87569,30438,138741,152640,499196,291381,380121,66901,43419,N,N,24354,17589,54337,354289
Massachusetts,MA,1,MA-1,568024,119473,119459,198117,130975,266490,301534,546653,65836,21501,47878,168513,119025,51702,98511,60894,498645,159405,499193,34587,8899,N,N,14892,8920,89732,430962
Massachusetts,MA,2,MA-2,558962,127590,117040,196871,117461,269755,289207,522617,45937,10877,27394,142691,128700,45337,122005,81958,520691,203963,492821,21037,22444,N,N,9865,11041,45931,460130
Massachusetts,MA,3,MA-3,543580,113187,124132,204678,101583,267058,276522,529486,45122,19912,35924,140895,107707,41539,117417,80186,487744,197603,434252,21573,32981,N,N,41121,11848,79786,401996
Massachusetts,MA,4,MA-4,559943,103075,119792,212866,124210,264258,295685,538159,33098,11369,24581,121145,96416,38926,140418,127088,523993,267506,500494,14662,26307,N,N,8756,8668,21613,486415
Massachusetts,MA,5,MA-5,535109,107925,129135,180011,118038,254313,280796,513186,30239,10528,15012,98703,75536,28827,159445,147058,509569,306503,441170,25571,44109,N,N,9309,14385,37051,417609
Massachusetts,MA,6,MA-6,577241,101032,119170,215167,141872,273324,303917,562214,40491,12735,22809,140305,101221,44564,152611,102996,541697,255607,514726,20886,20960,N,N,10401,8878,37241,492977
Massachusetts,MA,7,MA-7,558430,197433,143411,135309,82277,261887,296543,516378,78640,25821,31702,103504,123204,26449,143773,103977,500907,247750,322232,133572,48466,N,N,29098,22095,86346,281804
Massachusetts,MA,8,MA-8,561241,113602,138733,189771,119135,271141,290100,547326,34217,14964,22735,119668,98794,42482,156558,106040,523542,262598,451130,51412,34006,N,N,12980,10407,25380,437245
Massachusetts,MA,9,MA-9,573274,97060,109998,204076,162140,272549,300725,562197,47427,20503,32699,162931,110891,50771,118636,76843,520072,195479,520971,14079,6223,N,N,20564,9796,25238,511335
Michigan,MI,1,MI-1,564858,97821,106924,197514,162599,286708,278150,546107,65586,9793,36336,186144,139849,56267,89162,47307,518729,136469,526005,8008,2318,13991,N,N,12946,7068,521391
Michigan,MI,2,MI-2,551323,123650,126229,183561,117883,270056,281267,534886,55290,9933,31859,174642,146931,52975,93328,41655,509531,134983,483612,31227,10108,4143,N,12026,10915,36598,462160
Michigan,MI,3,MI-3,551028,118568,135861,184569,112030,269805,281223,537073,55617,8238,30859,156293,136932,51216,112209,55281,511931,167490,481704,41431,6985,N,N,5726,13090,26456,464680
Michigan,MI,4,MI-4,554938,115498,114323,188632,136485,275776,279162,531080,71584,12192,38199,191898,149293,54823,67991,40542,504547,108533,526676,10988,3224,N,N,N,7859,15030,515278
Michigan,MI,5,MI-5,520558,101137,110301,185117,124003,249502,271056,515340,80779,15810,40216,176679,138006,53758,63145,32944,464532,96089,415581,86291,3630,N,N,N,11210,20993,399720
Michigan,MI,6,MI-6,541981,117971,117761,182640,123609,263696,278285,531118,64711,12744,35945,159576,142047,51155,89738,50776,493292,140514,473725,41084,5902,N,N,3935,15409,20545,459777
Michigan,MI,7,MI-7,548462,99343,121286,197979,129854,271940,276522,528311,48683,9235,34581,177551,144184,52211,84659,46041,504646,130700,506913,21043,4514,N,N,3757,10629,18784,492488
Michigan,MI,8,MI-8,554462,128782,119354,195443,110883,270121,284341,536158,50669,7238,24262,126429,151037,48014,122938,74544,522962,197482,491959,30808,15727,N,N,3539,11053,23746,474565
Michigan,MI,9,MI-9,552114,117050,129459,190454,115151,266809,285305,547797,58611,13567,37795,152491,138059,49408,102506,58288,500752,160794,447958,74602,16366,N,N,N,9518,11679,438566
Michigan,MI,10,MI-10,553804,91918,118907,212452,130527,272084,281720,547765,49350,13316,33455,175993,145237,61063,81127,43613,507033,124740,516738,17298,8270,N,N,N,7652,13094,506372
Michigan,MI,11,MI-11,534817,96984,114133,203487,120213,258134,276683,529991,31151,6943,18181,106280,119626,45347,146777,91663,509693,238440,456915,28362,36706,N,N,1984,9763,10805,447997
Michigan,MI,12,MI-12,526943,144577,114484,166439,101443,255173,271770,509760,71305,12059,31508,132700,143023,40587,93822,73244,483376,167066,427794,57547,20590,N,N,5506,13673,25373,408989
Michigan,MI,13,MI-13,474739,110377,107407,161381,95574,220128,254611,469472,115844,16791,56117,171156,124222,34310,48351,23792,401831,72143,189735,263216,4158,N,N,7211,8375,20615,178151
Michigan,MI,14,MI-14,512851,109658,117113,171524,114556,237874,274977,504057,86226,13291,50257,130078,132529,38470,84144,64082,449303,148226,184289,296868,15811,N,N,3012,11358,14057,173468
Minnesota,MN,1,MN-1,500330,103708,114362,165683,116577,247189,253141,482916,47096,11191,25623,145731,117157,62200,95022,43406,463516,138428,468265,10688,9395,N,N,4704,5515,17539,456613
Minnesota,MN,2,MN-2,511914,96331,131892,185390,98301,247867,264047,503107,27606,6801,19991,115471,114408,64360,136504,54379,485122,190883,456311,19080,19304,N,N,5480,9119,19926,443431
Minnesota,MN,3,MN-3,517834,80909,124874,199945,112106,251195,266639,514568,23532,6990,14392,92869,103178,47633,169886,82886,496452,252772,444126,30981,28398,N,N,3228,10119,11512,436516
Minnesota,MN,4,MN-4,510862,109706,130270,167528,103358,243687,267175,496836,46437,14355,20873,103156,108603,46707,136824,80344,475634,217168,397340,42928,46885,N,N,6263,13954,21515,384868
Minnesota,MN,5,MN-5,517155,137964,150173,141709,87309,256364,260791,503118,61661,11079,20949,94215,113435,39172,157619,80686,485127,238305,395730,68758,21618,6451,N,7921,16732,21973,384238
Minnesota,MN,6,MN-6,525551,104564,137834,190089,93064,264594,260957,515433,32509,7139,21214,147962,131594,69220,103398,45024,497198,148422,490648,11041,10362,N,N,3251,8516,12087,482683
Minnesota,MN,7,MN-7,495727,91877,106463,167305,130082,245413,250314,482844,45244,10746,26785,159672,121783,73217,75070,28454,458196,103524,464118,5225,2580,11787,N,4601,7435,13527,456881
Minnesota,MN,8,MN-8,527541,92761,112017,185789,136974,266984,260557,512566,58844,6488,32123,164070,141250,66648,81173,35789,488930,116962,496067,5830,3378,12081,N,1031,9265,6662,491785
Mississippi,MS,1,MS-1,577880,126850,136703,193135,121192,274187,303693,559338,74040,25710,61515,178253,148330,53761,73625,36686,490655,110311,402803,160869,2353,N,N,3551,6912,9613,397756
Mississippi,MS,2,MS-2,523479,117121,123974,175829,106555,246408,277071,496061,101273,27158,61742,156611,134088,49979,61189,32712,434579,93901,177092,340371,N,N,N,N,N,5263,174095
Mississippi,MS,3,MS-3,559913,120854,140729,175562,122768,263747,296166,539427,94524,18828,50887,157990,133449,55055,86826,56878,490198,143704,345797,200767,3288,5056,N,N,N,5431,342068
Mississippi,MS,4,MS-4,579386,125374,142348,189661,122003,278636,300750,560746,97084,21770,49267,176706,144554,66264,76361,44464,508349,120825,426215,135118,6514,N,N,3910,7129,15661,416172
Missouri,MO,1,MO-1,549361,130558,139392,173891,105520,253168,296193,534195,86150,12310,43630,145273,139298,42877,99489,66484,493421,165973,260192,261201,10437,N,N,4424,11462,11442,252875
Missouri,MO,2,MO-2,575828,93035,129833,210481,142479,272618,303210,565960,24873,5743,22150,112586,121714,46557,157696,109382,547935,267078,523122,22595,20250,N,N,N,6756,11665,514031
Missouri,MO,3,MO-3,602748,113183,148292,213686,127587,295360,307388,585685,43942,12247,42874,192787,148492,54942,99269,52137,547627,151406,567355,21213,3000,N,N,N,8782,8947,560137
Missouri,MO,4,MO-4,584925,140461,129155,185648,129661,289078,295847,553519,79363,17240,39370,192692,159060,45652,82367,48544,528315,130911,532568,25895,5980,N,N,2765,13236,16368,519509
Missouri,MO,5,MO-5,573775,127201,142534,185355,118685,274276,299499,563867,62939,11163,37919,181971,146002,41360,101080,54280,524693,155360,421069,120397,6030,N,1284,9296,13740,33905,398974
Missouri,MO,6,MO-6,583457,112443,141987,201080,127947,287409,296048,558571,50539,12999,38361,191683,141271,44012,103472,51659,532097,155131,535210,26559,5525,N,N,2967,10712,16447,523778
Missouri,MO,7,MO-7,595559,128623,136612,192439,137885,287998,307561,578418,81695,16583,44724,190912,164558,48250,86385,44147,534252,130532,554030,12611,5598,N,N,3458,12883,18291,541114
Missouri,MO,8,MO-8,567717,105465,124173,198629,139450,280877,286840,545199,87592,25839,61909,217973,125854,44447,57370,34325,479969,91695,528067,25045,N,N,N,N,8143,6686,522714
Montana,MT,At-large,MT-At-large,823668,162487,190761,270899,199521,413026,410642,804355,97803,13693,43308,235406,213870,75647,161452,80292,766667,241744,747646,N,4509,43804,N,3505,19621,24492,729822
Nebraska,NE,1,NE-1,473676,115814,111892,147670,98300,236555,237121,457270,45705,9660,19293,124712,118501,55985,99467,46058,444723,145525,432846,11693,7877,5246,N,4213,11469,27352,412429
Nebraska,NE,2,NE-2,467041,98743,130827,152604,84867,226651,240390,456667,41176,10190,22645,100349,115551,38525,118383,61398,434206,179781,398060,42207,8924,N,N,5956,9518,30190,375412
Nebraska,NE,3,NE-3,439543,81629,95106,144924,117884,216125,223418,424327,43757,12722,26245,139853,115467,50287,66060,28909,400576,94969,415335,4793,1949,4072,N,6623,6948,29497,394655
Nevada,NV,1,NV-1,418811,102489,97757,128524,90041,211011,207800,412668,75734,19852,47042,142383,113629,30519,45994,19392,351917,65386,240100,61200,35413,6037,N,55335,17732,125193,179068
Nevada,NV,2,NV-2,531489,108295,122316,178178,122700,268234,263255,521800,45749,11462,31568,143551,154908,53108,88411,48481,488459,136892,440975,11815,19573,13474,N,29893,13627,82341,394263
Nevada,NV,3,NV-3,607915,114455,165543,201412,126505,298190,309725,606083,42769,8687,29939,158850,170118,51956,121177,67188,569289,188365,413307,51247,77180,N,N,33388,26261,92471,360201
Nevada,NV,4,NV-4,516951,107683,129145,170032,110091,258915,258036,505533,55887,14955,45162,163158,144930,42552,69252,36942,456834,106194,337862,78071,32696,7291,N,36795,20134,112161,271379
New Hampshire,NH,1,NH-1,540224,111039,117000,193985,118200,265533,274691,523141,35655,10894,25623,148958,116840,54784,116183,66942,503707,183125,510514,8240,8736,N,N,N,8689,13975,500722
New Hampshire,NH,2,NH-2,529588,94001,110296,202379,122912,260293,269295,510009,33260,10705,25258,158217,106418,47940,111299,69751,493625,181050,502531,6668,8458,N,N,2377,7885,17289,489481
New Jersey,NJ,1,NJ-1,542034,111555,128857,190108,111514,258989,283045,533571,53128,16319,31520,165958,123582,41164,107091,56400,494195,163491,384778,94492,25320,N,N,25639,11236,57115,361446
New Jersey,NJ,2,NJ-2,531339,93137,110952,192550,134700,257404,273935,513349,49849,19139,35455,179700,111411,44933,92001,48700,476745,140701,417570,64200,17255,N,N,19140,11119,59922,382079
New Jersey,NJ,3,NJ-3,570276,103401,121577,204055,141243,276793,293483,558203,30679,11036,28728,171625,125890,46323,124314,62360,530512,186674,470331,62569,16440,N,N,7935,11905,36899,445649
New Jersey,NJ,4,NJ-4,539643,92318,109571,192765,144989,253208,286435,533840,31194,7426,22922,138907,101856,42616,146774,79142,509295,225916,472751,32469,23529,N,N,5888,4677,40667,439223
New Jersey,NJ,5,NJ-5,527932,89385,108059,204536,125952,252797,275135,517601,22025,9640,18646,120924,95213,38861,156892,87756,499646,244648,436719,27896,44427,N,N,6318,11156,58275,389518
New Jersey,NJ,6,NJ-6,502463,116015,108102,179916,98430,247252,255211,475444,37453,18190,27793,138084,112318,34698,110548,60832,456480,171380,344954,59427,65641,N,N,17983,11963,97590,271555
New Jersey,NJ,7,NJ-7,527076,88778,105529,216418,116351,254674,272402,520070,20223,8590,18428,104521,88756,30510,160373,115898,500058,276271,435194,27632,45740,N,N,9733,7894,49423,399594
New Jersey,NJ,8,NJ-8,425604,104194,121068,128201,72141,207269,218335,420513,47592,32045,30291,114505,75754,22620,98333,52056,363268,150389,256512,49683,31256,N,N,69813,16495,206013,139594
New Jersey,NJ,9,NJ-9,481499,99676,111457,169027,101339,230505,250994,479380,49046,24204,28993,141341,97275,25967,113494,50225,428302,163719,311111,50941,54218,N,N,53404,10446,153807,219280
New Jersey,NJ,10,NJ-10,496051,113595,125958,165331,91167,234506,261545,480735,65422,21327,36289,149163,109164,30408,99333,50367,438435,149700,157432,265501,28602,N,N,34692,8905,82975,113784
New Jersey,NJ,11,NJ-11,548734,92894,122467,205816,127557,261914,286820,536031,21125,8304,17079,114551,81464,32798,173542,120996,523351,294538,467549,21897,43139,N,N,6978,8350,54585,423558
New Jersey,NJ,12,NJ-12,505683,96015,108763,190033,110872,242465,263218,489002,36428,12226,25121,116442,94601,30934,131616,94743,468336,226359,319979,97561,61677,N,N,14042,10815,59774,281355
New Mexico,NM,1,NM-1,514775,109072,124471,166781,114451,249488,265287,508282,73116,14575,38448,123565,134273,37779,91242,74893,461752,166135,417352,15860,11369,22993,N,30972,17324,227966,233565
New Mexico,NM,2,NM-2,484702,111415,110639,144518,118130,239241,245461,467832,84825,25613,50753,144472,130910,37556,59184,36214,408336,95398,410561,13404,3104,27930,N,21768,8709,234915,204305
New Mexico,NM,3,NM-3,507907,95645,121837,162932,127493,246780,261127,499664,89207,16244,45208,138477,133972,44223,75882,53901,446455,129783,347776,7966,5215,93824,N,41017,11024,184798,213905
New York,NY,1,NY-1,530436,100287,107433,196082,126634,257571,272865,519175,31046,11716,22721,146227,108727,54503,107773,78769,495999,186542,469195,29343,18748,N,N,5522,6247,55664,421406
New York,NY,2,NY-2,515987,103396,114796,192105,105690,252580,263407,512695,31530,14938,24165,163159,101117,48398,96309,67901,476884,164210,421557,47721,13120,N,N,20918,10552,87360,360821
New York,NY,3,NY-3,521235,84043,94788,201571,140833,248504,272731,512317,25261,12083,15479,92304,80942,38732,149877,131818,493673,281695,408617,17405,74896,N,N,12848,7092,42108,380673
New York,NY,4,NY-4,506457,97115,114081,175392,119869,240633,265824,497226,23349,14448,19140,119211,93213,41524,123603,95318,472869,218921,350417,81188,32489,2228,N,29611,10130,73896,313427
New York,NY,5,NY-5,501784,108297,116210,177019,100258,232458,269326,493643,47721,30580,40856,140344,114537,40504,89820,45143,430348,134963,95312,269186,63666,N,N,54170,16620,74850,68351
New York,NY,6,NY-6,448065,79930,102886,155921,109328,212441,235624,443584,41855,22673,25120,100527,78484,40118,111528,69615,400272,181143,228818,22546,147288,N,N,32697,13803,84837,183511
New York,NY,7,NY-7,446196,118165,128013,126083,73935,214479,231717,439774,79879,41149,45605,99671,65023,22128,107616,65004,359442,172620,242486,54545,63755,N,N,61784,20857,162390,163314
New York,NY,8,NY-8,540660,122947,146729,159129,111855,233029,307631,534467,96821,27000,41189,156102,92901,36933,116774,69761,472471,186535,182080,277437,31107,N,N,32944,16097,83725,149722
New York,NY,9,NY-9,486880,106689,133320,145744,101127,218455,268425,483155,61616,22883,35096,118321,87241,29969,113807,79563,428901,193370,184024,233493,35330,N,N,19299,13728,49463,165596
New York,NY,10,NY-10,473542,104610,124335,138764,105833,221514,252028,458508,57042,19000,20070,71311,58966,17104,156063,131028,434472,287091,350656,19480,75831,N,N,12426,13710,51569,318583
New York,NY,11,NY-11,500998,94271,113514,176250,116963,237048,263950,495306,54201,23412,31674,146260,84487,33972,113826,67367,445912,181193,368224,38364,65850,N,N,19320,8354,75157,319638
New York,NY,12,NY-12,530252,138958,160540,125681,105073,250793,279459,513697,48742,9944,11765,58965,54444,18603,213640,162891,508543,376531,405117,28927,61225,N,N,19638,13580,59475,369801
New York,NY,13,NY-13,505003,132278,138772,147730,86223,232128,272875,497817,109993,45480,52923,116625,97645,27711,101544,63075,406600,164619,143641,167679,19387,N,N,137339,29826,245898,86581
New York,NY,14,NY-14,392398,84822,108371,121605,77600,194391,198007,380258,44703,28934,34023,103936,68842,38092,77500,41071,329441,118571,187370,58500,59258,2015,N,71750,13505,162309,115010
New York,NY,15,NY-15,410819,118087,97836,125599,69297,184098,226721,405180,121432,43443,63045,120551,88448,35746,44672,14914,304331,59586,79708,166569,8258,4016,N,133968,17008,250878,14264
New York,NY,16,NY-16,498243,97670,110557,170078,119938,223699,274544,485031,51192,22025,44135,110388,86548,35996,104749,94402,432083,199151,249916,161995,23001,N,N,47451,14310,111353,202591
New York,NY,17,NY-17,502861,99453,107969,177154,118285,241981,260880,489310,36680,15011,27055,103228,89675,31641,124810,111441,460795,236251,373395,55706,30787,N,N,32269,9914,78084,334031
New York,NY,18,NY-18,524373,110007,111866,194615,107885,258678,265695,505373,38590,13184,33335,138460,108005,54987,99202,77200,477854,176402,421348,52016,12453,N,N,25176,12195,69835,384776
New York,NY,19,NY-19,553713,100781,110525,200995,141412,276166,277547,527441,58461,12382,38099,180308,109863,61407,86884,64770,503232,151654,499819,28573,5960,N,N,7513,10473,31643,479384
New York,NY,20,NY-20,557251,128947,122739,183945,121620,266403,290848,532729,50906,11855,30341,144020,108879,64695,108983,88478,515055,197461,463732,48962,17189,N,N,9090,15050,32170,447852
New York,NY,21,NY-21,551303,113239,119095,194087,124882,283623,267680,516373,54118,16698,38600,194736,112276,63520,70568,54905,496005,125473,510069,18316,5149,N,N,6012,7425,15403,502575
