State,District Number,Congressional District,Voting-Age Population,Above Poverty Level,Below Poverty Level
Indiana,7,IN-7,521076,509529,77616
Indiana,8,IN-8,549149,525125,62903
Indiana,9,IN-9,575308,553531,64247
Iowa,1,IA-1,580187,558232,56396
Iowa,2,IA-2,581525,560199,62112
Iowa,3,IA-3,601044,588009,51444
Iowa,4,IA-4,564463,536367,55271
Kansas,1,KS-1,502712,474980,57226
Kansas,2,KS-2,538594,513794,70225
Kansas,3,KS-3,534532,529568,31937
Kansas,4,KS-4,515676,503367,54144
Kentucky,1,KY-1,552530,528102,82046
Kentucky,2,KY-2,577362,557689,78440
Kentucky,3,KY-3,553926,541159,68708
Kentucky,4,KY-4,565232,551490,55545
Kentucky,5,KY-5,537877,517228,124355
Kentucky,6,KY-6,581992,560860,74703
Louisiana,1,LA-1,594231,582654,66838
Louisiana,2,LA-2,587115,567296,113301
Louisiana,3,LA-3,577604,566763,86760
Louisiana,4,LA-4,559310,540960,104441
Louisiana,5,LA-5,555804,513602,103696
Louisiana,6,LA-6,585015,575426,60246
Maine,1,ME-1,546625,533126,46725
Maine,2,ME-2,524036,509879,67713
Maryland,1,MD-1,567926,552884,42578
Maryland,2,MD-2,560167,543593,51775
Maryland,3,MD-3,545892,528919,36310
Maryland,4,MD-4,503398,499442,29106
Maryland,5,MD-5,556897,538164,32040
Maryland,6,MD-6,523698,503145,41902
Maryland,7,MD-7,528398,509441,70189
Maryland,8,MD-8,533774,525419,27438
Massachusetts,1,MA-1,568024,546653,65836
Massachusetts,2,MA-2,558962,522617,45937
Massachusetts,3,MA-3,543580,529486,45122
Massachusetts,4,MA-4,559943,538159,33098
Massachusetts,5,MA-5,535109,513186,30239
Massachusetts,6,MA-6,577241,562214,40491
Massachusetts,7,MA-7,558430,516378,78640
Massachusetts,8,MA-8,561241,547326,34217
Massachusetts,9,MA-9,573274,562197,47427
Michigan,1,MI-1,564858,546107,65586
Michigan,2,MI-2,551323,534886,55290
Michigan,3,MI-3,551028,537073,55617
Michigan,4,MI-4,554938,531080,71584
Michigan,5,MI-5,520558,515340,80779
Michigan,6,MI-6,541981,531118,64711
Michigan,7,MI-7,548462,528311,48683
Michigan,8,MI-8,554462,536158,50669
Michigan,9,MI-9,552114,547797,58611
Michigan,10,MI-10,553804,547765,49350
Michigan,11,MI-11,534817,529991,31151
Michigan,12,MI-12,526943,509760,71305
Michigan,13,MI-13,474739,469472,115844
Michigan,14,MI-14,512851,504057,86226
Minnesota,1,MN-1,500330,482916,47096
Minnesota,2,MN-2,511914,503107,27606
Minnesota,3,MN-3,517834,514568,23532
Minnesota,4,MN-4,510862,496836,46437
Minnesota,5,MN-5,517155,503118,61661
Minnesota,6,MN-6,525551,515433,32509
Minnesota,7,MN-7,495727,482844,45244
Minnesota,8,MN-8,527541,512566,58844
Mississippi,1,MS-1,577880,559338,74040
Mississippi,2,MS-2,523479,496061,101273
Mississippi,3,MS-3,559913,539427,94524
Mississippi,4,MS-4,579386,560746,97084
Missouri,1,MO-1,549361,534195,86150
Missouri,2,MO-2,575828,565960,24873
Missouri,3,MO-3,602748,585685,43942
Missouri,4,MO-4,584925,553519,79363
Missouri,5,MO-5,573775,563867,62939
