State Abbreviation,State,District Number,Voting-Age Population,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic,Congressional District
CO,Colorado,1,619349,506072,45513,17469,N,N,23219,20096,119977,418148,CO-1
CO,Colorado,2,619285,576504,N,13255,N,N,6147,14535,46193,540357,CO-2
CO,Colorado,3,565901,514091,N,4563,13233,N,19146,9553,109815,432148,CO-3
CO,Colorado,4,598599,548225,8010,10268,N,N,11070,15269,101117,465288,CO-4
CO,Colorado,5,603967,507651,36260,12558,N,N,15684,24563,79608,454724,CO-5
CO,Colorado,6,567801,445319,54258,26492,N,N,16198,18358,82000,388277,CO-6
CO,Colorado,7,576138,515075,9840,14416,N,N,14676,16322,127630,411026,CO-7
CT,Connecticut,1,523004,389864,74654,18123,N,N,25590,13819,76120,349882,CT-1
CT,Connecticut,2,548572,490483,21561,12282,N,N,9461,12947,34236,471406,CT-2
CT,Connecticut,3,535024,415047,73000,16583,N,N,20078,9426,65126,376872,CT-3
CT,Connecticut,4,496370,385473,58892,21594,N,N,19799,9394,70913,341510,CT-4
CT,Connecticut,5,511395,428788,37035,12937,N,N,20742,10348,74862,379746,CT-5
DE,Delaware,At-large,720867,521934,158901,15714,N,N,6555,13093,38834,495504,DE-At-large
DC,District of Columbia,At-large,526393,240198,240843,19162,N,N,9019,14842,36738,219188,DC-At-large
FL,Florida,1,601423,478730,77669,14425,N,N,7267,18881,33268,456722,FL-1
FL,Florida,2,573718,471948,72643,7051,N,N,6613,12474,28069,452634,FL-2
FL,Florida,3,579993,449642,94257,15798,N,N,7252,11235,51546,407799,FL-3
FL,Florida,4,614794,515197,55158,21102,N,N,8382,12540,39896,483093,FL-4
FL,Florida,5,541992,257422,253971,10734,N,N,5696,11808,33932,232592,FL-5
FL,Florida,6,621566,524555,59921,9225,N,N,18471,6898,70307,475149,FL-6
FL,Florida,7,581583,455558,61316,21799,N,N,27205,14159,136155,353215,FL-7
FL,Florida,8,610604,527572,53879,11561,N,N,3277,12045,55610,478959,FL-8
FL,Florida,9,644898,491703,77000,17089,N,N,38959,18829,248443,298166,FL-9
FL,Florida,10,546157,328556,149037,26403,N,N,27895,12385,130233,228710,FL-10
FL,Florida,11,652135,584168,42623,6265,N,N,7035,10705,57736,535611,FL-11
FL,Florida,12,605983,540706,27926,13016,N,N,10067,11346,64029,490925,FL-12
