State Abbreviation,State,District Number,Voting-Age Population,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic,Congressional District
OK,Oklahoma,3,571661,470884,24256,5948,32025,N,11938,27206,36389,450725,OK-3
OK,Oklahoma,4,589702,462131,38683,10100,30259,N,11086,36816,39832,437276,OK-4
OK,Oklahoma,5,561277,404896,74608,14329,27296,N,11351,28839,47050,371767,OK-5
OR,Oregon,1,606198,513567,10563,37244,N,N,13522,23694,53395,479351,OR-1
OR,Oregon,2,619186,570566,N,6561,11251,N,7035,18083,47200,535491,OR-2
OR,Oregon,3,627716,517373,28243,42605,N,N,5724,25522,42055,486378,OR-3
OR,Oregon,4,638548,577889,N,10379,8751,N,12109,25058,34726,558470,OR-4
OR,Oregon,5,606523,534933,N,12700,N,N,22572,22413,59285,503966,OR-5
PA,Pennsylvania,1,544860,485517,18522,28270,N,N,4568,7510,21258,470789,PA-1
PA,Pennsylvania,2,496510,255993,131605,30679,N,N,63238,12957,107789,221042,PA-2
PA,Pennsylvania,3,564612,208667,307689,24890,N,N,5295,16948,23412,196371,PA-3
PA,Pennsylvania,4,543723,454586,52262,22373,N,N,4705,9628,18783,441795,PA-4
PA,Pennsylvania,5,519983,363487,118476,24754,N,N,N,9032,17273,352547,PA-5
PA,Pennsylvania,6,522912,449691,32287,14144,N,N,16911,9541,53752,417509,PA-6
PA,Pennsylvania,7,552078,469476,34943,13253,N,N,20031,12391,80928,419773,PA-7
PA,Pennsylvania,8,535133,480360,27511,7691,N,N,9335,9552,44055,450419,PA-8
PA,Pennsylvania,9,555775,518358,15716,5016,N,N,10844,5481,28993,503528,PA-9
PA,Pennsylvania,10,552761,460919,56947,13759,N,N,7704,12505,33868,441207,PA-10
PA,Pennsylvania,11,553568,504688,17933,8037,N,N,12607,8659,37151,484533,PA-11
PA,Pennsylvania,12,551022,526661,11901,4991,N,N,N,3925,10742,519347,PA-12
PA,Pennsylvania,13,545111,516724,16075,2209,N,N,1840,8046,8760,511304,PA-13
PA,Pennsylvania,14,551164,523728,16477,3505,N,N,N,6469,6330,518637,PA-14
PA,Pennsylvania,15,548615,526103,N,2867,N,N,N,6280,6687,522481,PA-15
PA,Pennsylvania,16,539710,501628,22529,3902,N,N,N,7184,10508,495236,PA-16
PA,Pennsylvania,17,559285,508180,31973,9500,N,N,1400,8279,7321,503418,PA-17
PA,Pennsylvania,18,544390,427121,90399,12581,N,N,N,11048,9730,420235,PA-18
RI,Rhode Island,1,395409,323031,27650,9436,N,N,22408,11418,52719,293545,RI-1
RI,Rhode Island,2,407668,361968,16926,10467,N,N,8404,7916,38441,334255,RI-2
SC,South Carolina,1,613912,466500,115167,9064,N,N,10198,10966,24809,452570,SC-1
SC,South Carolina,2,537342,385598,130527,7361,N,N,4495,8285,20880,370699,SC-2
SC,South Carolina,3,534772,422270,99145,3035,N,N,3722,5957,14388,412561,SC-3
SC,South Carolina,4,533533,405172,102042,10346,N,N,4795,10285,18153,393623,SC-4
SC,South Carolina,5,552247,385649,146617,5308,N,N,3662,8765,14601,375463,SC-5
SC,South Carolina,6,506843,210650,276661,3846,N,N,3026,10764,10092,205293,SC-6
SC,South Carolina,7,571428,403217,151170,4767,N,N,3234,4248,12571,394892,SC-7
SD,South Dakota,At-large,647089,573199,7602,4301,47766,N,2976,11750,16770,562090,SD-At-large
TN,Tennessee,1,563918,540760,12046,N,N,N,1756,7097,8717,534862,TN-1
TN,Tennessee,2,583056,530524,34866,6892,N,N,2060,7260,12772,520933,TN-2
TN,Tennessee,3,571456,494474,58905,5320,N,N,1619,9009,11835,485077,TN-3
TN,Tennessee,4,590540,509128,58521,6539,N,N,4177,9871,19562,494574,TN-4
TN,Tennessee,5,563797,396515,135489,12568,N,N,7589,10001,20724,382584,TN-5
TN,Tennessee,6,591603,546480,27006,3122,N,N,4599,8624,11050,541137,TN-6
TN,Tennessee,7,578288,494255,58811,7939,N,N,N,9621,20849,479302,TN-7
TN,Tennessee,8,525277,411730,99356,6453,N,N,838,5701,9750,403854,TN-8
TN,Tennessee,9,507231,143828,347105,6463,N,N,2680,N,9765,137622,TN-9
TX,Texas,1,511974,398418,95185,5247,N,N,4255,5901,50490,354220,TX-1
TX,Texas,2,520180,374579,67918,36469,N,N,28948,10300,116957,291204,TX-2
TX,Texas,3,563318,417000,62190,59788,N,N,8533,12224,57426,371559,TX-3
TX,Texas,4,543354,450691,62889,4482,N,N,13055,8982,48269,417038,TX-4
TX,Texas,5,480610,370826,79554,5214,N,N,13173,8061,79549,307171,TX-5
TX,Texas,6,554709,373722,119118,22896,N,N,17934,16609,95719,303004,TX-6
TX,Texas,7,448262,298130,71129,40651,N,N,24145,12320,93548,233445,TX-7
TX,Texas,8,584039,500072,51935,10603,N,N,8025,11311,87095,424082,TX-8
TX,Texas,9,445634,141641,208780,49557,N,N,38209,6091,120680,62693,TX-9
TX,Texas,10,593629,452663,68022,30569,N,N,24999,13675,115843,367912,TX-10
TX,Texas,11,542570,478019,24543,5006,N,N,22550,9672,170218,339067,TX-11
TX,Texas,12,572411,472228,52093,16010,N,N,16440,12047,98273,394380,TX-12
TX,Texas,13,493390,431065,27053,7620,N,N,13323,10264,98343,351529,TX-13
TX,Texas,14,532153,384154,112210,13195,N,N,11359,10314,97361,302300,TX-14
TX,Texas,15,435170,379943,12712,6649,N,N,29321,6426,318150,95665,TX-15
TX,Texas,16,458940,368827,18683,5641,N,N,50117,13062,354559,74701,TX-16
TX,Texas,17,550601,438916,71168,21392,N,N,6034,10451,104304,346034,TX-17
TX,Texas,18,480387,208568,215580,17534,N,N,28717,7835,135295,107589,TX-18
TX,Texas,19,509891,429575,29977,5605,N,N,29663,10920,158311,306882,TX-19
TX,Texas,20,549483,454208,34008,13058,5751,N,27207,15763,359225,137455,TX-20
TX,Texas,21,622228,545917,26014,14202,N,N,16844,18607,152663,418194,TX-21
TX,Texas,22,577164,363663,90540,96189,N,N,14120,10331,131296,253902,TX-22
TX,Texas,23,507547,432414,22598,9643,N,N,33170,7572,323467,149430,TX-23
TX,Texas,24,503766,356984,69184,46929,N,N,15268,11265,76490,299672,TX-24
TX,Texas,25,570238,477742,47854,16429,N,N,11245,14079,85432,411296,TX-25
TX,Texas,26,605249,485828,54444,29495,N,N,13496,16226,87452,420675,TX-26
TX,Texas,27,517267,450131,30575,6770,N,N,19945,8192,244288,230403,TX-27
TX,Texas,28,434305,380927,22504,N,N,N,17271,10001,308450,95644,TX-28
TX,Texas,29,369239,250530,50559,7339,N,N,51102,6742,253013,54124,TX-29
TX,Texas,30,479082,199737,246174,9420,N,N,12972,9549,108419,106998,TX-30
TX,Texas,31,602236,464041,75995,22112,N,N,14600,21722,121927,369505,TX-31
TX,Texas,32,505867,368510,64757,39905,N,N,17777,10758,81663,307844,TX-32
TX,Texas,33,360226,211253,87623,9130,N,N,40240,8759,177006,79751,TX-33
TX,Texas,34,424863,394847,N,N,N,N,17106,3934,337458,77793,TX-34
TX,Texas,35,532967,407887,53412,7645,N,N,45363,14093,282126,180731,TX-35
TX,Texas,36,519385,434194,55785,7186,N,N,8042,10489,97071,350581,TX-36
UT,Utah,1,521517,479166,6697,7073,4950,N,9899,11974,49305,443992,UT-1
UT,Utah,2,529608,469567,6167,10348,6580,4405,21509,11119,49995,444107,UT-2
UT,Utah,3,517848,477127,2771,8430,7996,5263,5608,11033,35764,448612,UT-3
UT,Utah,4,518368,452383,6601,15171,N,6179,22264,12652,55184,424024,UT-4
VT,Vermont,At-large,500274,477697,4621,6816,N,N,1688,7971,8387,471163,VT-At-large
VA,Virginia,1,590281,443661,100532,14981,N,N,12468,16444,46940,413771,VA-1
VA,Virginia,2,559397,390382,113506,26459,N,N,8623,18247,35133,368594,VA-2
VA,Virginia,3,559137,263911,255075,12965,N,N,6529,18190,23364,250743,VA-3
VA,Virginia,4,579606,311503,238077,9381,N,N,5041,14130,19287,300456,VA-4
VA,Virginia,5,578531,443231,111757,7846,N,N,N,12706,10652,435426,VA-5
VA,Virginia,6,582756,496792,63253,8065,N,N,2958,10188,17271,485751,VA-6
VA,Virginia,7,588061,428552,120402,20543,N,N,5757,10665,22073,415336,VA-7
VA,Virginia,8,533417,364779,80064,55619,N,N,11088,20239,57449,325432,VA-8
VA,Virginia,9,567315,521514,30983,5856,N,N,N,5571,6719,517463,VA-9
VA,Virginia,10,565197,418603,40263,77765,N,N,8192,18856,43842,386646,VA-10
VA,Virginia,11,509988,316427,68574,81213,N,N,16601,25252,61024,276078,VA-11
WA,Washington,1,519555,439576,7523,38229,6702,N,9205,17522,29044,422876,WA-1
WA,Washington,2,558321,460962,14808,41006,5897,N,9674,24402,41083,433913,WA-2
WA,Washington,3,544994,484519,7022,15570,5586,N,8048,22498,28562,466885,WA-3
WA,Washington,4,443137,365274,5862,7181,14208,N,36793,14254,102450,307149,WA-4
WA,Washington,5,551532,495255,7413,10342,9288,N,8437,19289,28282,479564,WA-5
WA,Washington,6,570991,477842,19327,22023,10385,N,5709,31401,31306,457984,WA-6
WA,Washington,7,600321,473192,21442,58953,N,N,8241,33448,31156,453579,WA-7
WA,Washington,8,522952,426475,15109,36359,6081,N,14373,21074,34785,410162,WA-8
WA,Washington,9,499184,285686,57935,99253,N,5952,18848,27340,39942,267759,WA-9
WA,Washington,10,544552,420200,35399,35136,7007,9054,9094,28764,43249,392772,WA-10
WV,West Virginia,1,486327,462081,13371,2775,N,N,N,6955,N,458735,WV-1
WV,West Virginia,2,487208,453599,21858,3418,N,N,1016,6118,8296,446953,WV-2
WV,West Virginia,3,457623,430698,19291,N,N,N,N,5001,N,428964,WV-3
WI,Wisconsin,1,539789,487118,27692,7632,N,N,6490,8892,35068,460877,WI-1
WI,Wisconsin,2,577976,522674,23347,15632,N,N,4803,8666,20082,508442,WI-2
WI,Wisconsin,3,566700,538023,6298,10003,N,N,2354,7533,10272,530635,WI-3
WI,Wisconsin,4,493143,277019,159622,12181,N,N,26780,15105,58795,248998,WI-4
WI,Wisconsin,5,558805,521119,15192,11636,N,N,3374,6724,19530,506808,WI-5
WI,Wisconsin,6,556485,524716,11267,9340,N,N,2436,5943,16238,511469,WI-6
WI,Wisconsin,7,552651,522802,3120,7622,9955,N,1587,7380,8268,517010,WI-7
WI,Wisconsin,8,556205,516153,7776,8678,13341,N,3322,7892,15514,505294,WI-8
WY,Wyoming,At-large,433644,404463,N,2909,10144,N,N,8188,32683,378267,WY-At-large
