State,District Number,Congressional District,Voting-Age Population,Men,Women
Indiana,8,IN-8,549149,270738,278411
Indiana,9,IN-9,575308,279976,295332
Iowa,1,IA-1,580187,284027,296160
Iowa,2,IA-2,581525,284369,297156
Iowa,3,IA-3,601044,292105,308939
Iowa,4,IA-4,564463,278749,285714
Kansas,1,KS-1,502712,254352,248360
Kansas,2,KS-2,538594,266041,272553
Kansas,3,KS-3,534532,258428,276104
Kansas,4,KS-4,515676,253444,262232
Kentucky,1,KY-1,552530,269167,283363
Kentucky,2,KY-2,577362,282075,295287
Kentucky,3,KY-3,553926,261136,292790
Kentucky,4,KY-4,565232,277020,288212
Kentucky,5,KY-5,537877,263796,274081
Kentucky,6,KY-6,581992,279091,302901
Louisiana,1,LA-1,594231,282992,311239
Louisiana,2,LA-2,587115,273178,313937
Louisiana,3,LA-3,577604,275886,301718
Louisiana,4,LA-4,559310,272704,286606
Louisiana,5,LA-5,555804,274214,281590
Louisiana,6,LA-6,585015,276949,308066
Maine,1,ME-1,546625,262366,284259
Maine,2,ME-2,524036,256001,268035
Maryland,1,MD-1,567926,274632,293294
Maryland,2,MD-2,560167,260668,299499
Maryland,3,MD-3,545892,264371,281521
Maryland,4,MD-4,503398,233987,269411
Maryland,5,MD-5,556897,266835,290062
Maryland,6,MD-6,523698,256158,267540
Maryland,7,MD-7,528398,244249,284149
Maryland,8,MD-8,533774,255084,278690
Massachusetts,1,MA-1,568024,266490,301534
Massachusetts,2,MA-2,558962,269755,289207
Massachusetts,3,MA-3,543580,267058,276522
Massachusetts,4,MA-4,559943,264258,295685
Massachusetts,5,MA-5,535109,254313,280796
Massachusetts,6,MA-6,577241,273324,303917
Massachusetts,7,MA-7,558430,261887,296543
Massachusetts,8,MA-8,561241,271141,290100
Massachusetts,9,MA-9,573274,272549,300725
Michigan,1,MI-1,564858,286708,278150
Michigan,2,MI-2,551323,270056,281267
Michigan,3,MI-3,551028,269805,281223
Michigan,4,MI-4,554938,275776,279162
Michigan,5,MI-5,520558,249502,271056
Michigan,6,MI-6,541981,263696,278285
Michigan,7,MI-7,548462,271940,276522
Michigan,8,MI-8,554462,270121,284341
Michigan,9,MI-9,552114,266809,285305
Michigan,10,MI-10,553804,272084,281720
Michigan,11,MI-11,534817,258134,276683
Michigan,12,MI-12,526943,255173,271770
Michigan,13,MI-13,474739,220128,254611
Michigan,14,MI-14,512851,237874,274977
Minnesota,1,MN-1,500330,247189,253141
Minnesota,2,MN-2,511914,247867,264047
Minnesota,3,MN-3,517834,251195,266639
Minnesota,4,MN-4,510862,243687,267175
Minnesota,5,MN-5,517155,256364,260791
Minnesota,6,MN-6,525551,264594,260957
Minnesota,7,MN-7,495727,245413,250314
Minnesota,8,MN-8,527541,266984,260557
Mississippi,1,MS-1,577880,274187,303693
Mississippi,2,MS-2,523479,246408,277071
Mississippi,3,MS-3,559913,263747,296166
Mississippi,4,MS-4,579386,278636,300750
Missouri,1,MO-1,549361,253168,296193
Missouri,2,MO-2,575828,272618,303210
Missouri,3,MO-3,602748,295360,307388
Missouri,4,MO-4,584925,289078,295847
Missouri,5,MO-5,573775,274276,299499
Missouri,6,MO-6,583457,287409,296048
Missouri,7,MO-7,595559,287998,307561
Missouri,8,MO-8,567717,280877,286840
Montana,At-large,MT-At-large,823668,413026,410642
Nebraska,1,NE-1,473676,236555,237121
Nebraska,2,NE-2,467041,226651,240390
Nebraska,3,NE-3,439543,216125,223418
Nevada,1,NV-1,418811,211011,207800
Nevada,2,NV-2,531489,268234,263255
Nevada,3,NV-3,607915,298190,309725
Nevada,4,NV-4,516951,258915,258036
New Hampshire,1,NH-1,540224,265533,274691
New Hampshire,2,NH-2,529588,260293,269295
New Jersey,1,NJ-1,542034,258989,283045
New Jersey,2,NJ-2,531339,257404,273935
New Jersey,3,NJ-3,570276,276793,293483
New Jersey,4,NJ-4,539643,253208,286435
