State Abbreviation,State,District Number,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Congressional District
FL,Florida,22,534846,78782,113545,190781,151738,FL-22
FL,Florida,23,510212,92504,117316,176163,124229,FL-23
FL,Florida,24,477697,110275,123658,149155,94609,FL-24
FL,Florida,25,453055,89229,86737,148024,129065,FL-25
FL,Florida,26,476033,104526,107894,162965,100648,FL-26
FL,Florida,27,464604,84074,110349,152249,117932,FL-27
GA,Georgia,1,550713,124272,144285,173960,108196,GA-1
GA,Georgia,2,498322,116812,118050,158501,104959,GA-2
GA,Georgia,3,548941,116928,126353,192813,112847,GA-3
GA,Georgia,4,527938,116027,131388,188968,91555,GA-4
GA,Georgia,5,587385,173012,167225,162199,84949,GA-5
GA,Georgia,6,496468,80827,129906,192548,93187,GA-6
GA,Georgia,7,486845,101857,126492,180871,77625,GA-7
GA,Georgia,8,527338,117467,129584,171971,108316,GA-8
GA,Georgia,9,556967,110102,119775,185692,141398,GA-9
GA,Georgia,10,565803,135915,130573,189498,109817,GA-10
GA,Georgia,11,559687,122052,143609,193753,100273,GA-11
GA,Georgia,12,540482,132914,132283,172888,102397,GA-12
GA,Georgia,13,523476,114667,141009,185343,82457,GA-13
GA,Georgia,14,516434,107349,122568,180827,105690,GA-14
HI,Hawaii,1,509992,101825,127924,156279,123964,HI-1
HI,Hawaii,2,506514,104080,120799,160905,120730,HI-2
ID,Idaho,1,661724,133621,156558,218173,153372,ID-1
ID,Idaho,2,590690,138735,152336,177354,122265,ID-2
IL,Illinois,1,524114,110093,119884,183041,111096,IL-1
IL,Illinois,2,497132,105903,115395,166767,109067,IL-2
IL,Illinois,3,479004,96642,116060,166940,99362,IL-3
IL,Illinois,4,410804,114380,124459,112782,59183,IL-4
IL,Illinois,5,545831,138945,163400,153707,89779,IL-5
IL,Illinois,6,523796,89576,115611,203470,115139,IL-6
IL,Illinois,7,522767,133525,142887,152762,93593,IL-7
IL,Illinois,8,442009,97404,105383,149266,89956,IL-8
IL,Illinois,9,498242,91913,116876,169788,119665,IL-9
IL,Illinois,10,468255,99179,100085,164232,104759,IL-10
IL,Illinois,11,472244,104470,115271,167620,84883,IL-11
IL,Illinois,12,528398,105402,123904,181641,117451,IL-12
