year,state,state_abbreviation,county,office,candidate,party,candidate_votes,total_votes,candidate_percent
2016,Arkansas,AR,Howard,President,Other,other,166.0,4674,0.03551561831407788
2016,Arkansas,AR,Independence,President,Hillary Clinton,democrat,2881.0,13614,0.21162039077420303
2016,Arkansas,AR,Independence,President,Donald Trump,republican,9936.0,13614,0.7298369325694138
2016,Arkansas,AR,Independence,President,Other,other,797.0,13614,0.05854267665638314
2016,Arkansas,AR,Izard,President,Hillary Clinton,democrat,1113.0,5448,0.20429515418502203
2016,Arkansas,AR,Izard,President,Donald Trump,republican,4042.0,5448,0.7419236417033774
2016,Arkansas,AR,Izard,President,Other,other,293.0,5448,0.05378120411160059
2016,Arkansas,AR,Jackson,President,Hillary Clinton,democrat,1583.0,5156,0.3070209464701319
2016,Arkansas,AR,Jackson,President,Donald Trump,republican,3267.0,5156,0.6336307214895268
2016,Arkansas,AR,Jackson,President,Other,other,306.0,5156,0.05934833204034135
2016,Arkansas,AR,Jefferson,President,Hillary Clinton,democrat,15772.0,25894,0.6090986328879278
2016,Arkansas,AR,Jefferson,President,Donald Trump,republican,9250.0,25894,0.35722561211091375
2016,Arkansas,AR,Jefferson,President,Other,other,872.0,25894,0.03367575500115857
2016,Arkansas,AR,Johnson,President,Hillary Clinton,democrat,2427.0,9112,0.26635206321334504
2016,Arkansas,AR,Johnson,President,Donald Trump,republican,6091.0,9112,0.668459174714662
2016,Arkansas,AR,Johnson,President,Other,other,594.0,9112,0.06518876207199298
2016,Arkansas,AR,Lafayette,President,Hillary Clinton,democrat,1032.0,2860,0.36083916083916084
2016,Arkansas,AR,Lafayette,President,Donald Trump,republican,1758.0,2860,0.6146853146853147
2016,Arkansas,AR,Lafayette,President,Other,other,70.0,2860,0.024475524475524476
2016,Arkansas,AR,Lawrence,President,Hillary Clinton,democrat,1263.0,5685,0.22216358839050132
2016,Arkansas,AR,Lawrence,President,Donald Trump,republican,4064.0,5685,0.7148636763412489
2016,Arkansas,AR,Lawrence,President,Other,other,358.0,5685,0.06297273526824979
2016,Arkansas,AR,Lee,President,Hillary Clinton,democrat,1735.0,3026,0.5733641771315268
2016,Arkansas,AR,Lee,President,Donald Trump,republican,1229.0,3026,0.4061467283542631
2016,Arkansas,AR,Lee,President,Other,other,62.0,3026,0.020489094514210177
2016,Arkansas,AR,Lincoln,President,Hillary Clinton,democrat,1252.0,3826,0.32723470987977
