year,congressional_district,state,state_abbreviation,district_number,special_election,candidate,party,candidate_votes,total_votes,candidate_percent
2016,IN-7,Indiana,IN,7,False,"Catherine """"CAT"""" Ping",republican,94456,264670,0.35688215513658517
2016,IN-7,Indiana,IN,7,False,Andr_ Carson,democrat,158739,264670,0.5997619677334038
2016,IN-7,Indiana,IN,7,False,Drew Thompson,other,11475,264670,0.043355877130010954
2016,IN-8,Indiana,IN,8,False,Larry Bucshon,republican,187702,294713,0.6368975918944871
2016,IN-8,Indiana,IN,8,False,Andrew Horning,other,13655,294713,0.04633321231163878
2016,IN-8,Indiana,IN,8,False,Ron Drake,democrat,93356,294713,0.316769195793874
2016,IN-9,Indiana,IN,9,False,Shelli Yoder,democrat,130627,322843,0.40461462692392275
2016,IN-9,Indiana,IN,9,False,Trey Hollingsworth,republican,174791,322843,0.5414117698076155
2016,IN-9,Indiana,IN,9,False,Russell Brooksbank,other,17425,322843,0.05397360326846176
2016,IA-1,Iowa,IA,1,False,Monica Vernon,democrat,177403,384977,0.46081454216745416
2016,IA-1,Iowa,IA,1,False,,other,671,384977,0.0017429612678159993
2016,IA-1,Iowa,IA,1,False,Rod Blum,republican,206903,384977,0.5374424965647299
2016,IA-2,Iowa,IA,2,False,Christopher Peters,republican,170933,370032,0.4619411294158343
2016,IA-2,Iowa,IA,2,False,David Loebsack,democrat,198571,370032,0.5366319669650192
2016,IA-2,Iowa,IA,2,False,,other,528,370032,0.0014269036191464522
2016,IA-3,Iowa,IA,3,False,Claudia Addy,other,6348,390287,0.01626495373917143
2016,IA-3,Iowa,IA,3,False,Bryan Jack Holder,other,15372,390287,0.0393864002644208
2016,IA-3,Iowa,IA,3,False,David Young,republican,208598,390287,0.5344733490995088
2016,IA-3,Iowa,IA,3,False,,other,449,390287,0.0011504354487851247
2016,IA-3,Iowa,IA,3,False,Jim Mowrer,democrat,155002,390287,0.3971487648832782
2016,IA-3,Iowa,IA,3,False,Joe Grandanette,other,4518,390287,0.01157609656483562
2016,IA-4,Iowa,IA,4,False,,other,547,370259,0.0014773442374121897
2016,IA-4,Iowa,IA,4,False,Steve King,republican,226719,370259,0.6123254262556751
2016,IA-4,Iowa,IA,4,False,Kim Weaver,democrat,142993,370259,0.3861972295069127
2016,KS-1,Kansas,KS,1,False,Alan LaPolice,other,67739,257971,0.2625837787968415
2016,KS-1,Kansas,KS,1,False,Kerry Burt,other,19366,257971,0.07507045365564347
2016,KS-1,Kansas,KS,1,False,,other,874,257971,0.0033879777184257147
2016,KS-1,Kansas,KS,1,False,Roger Marshall,republican,169992,257971,0.6589577898290894
2016,KS-2,Kansas,KS,2,False,Britani Potter,democrat,96840,297401,0.32562096294229004
2016,KS-2,Kansas,KS,2,False,James Houston Bales,other,19333,297401,0.06500650636682459
2016,KS-2,Kansas,KS,2,False,Lynn Jenkins,republican,181228,297401,0.6093725306908854
2016,KS-3,Kansas,KS,3,False,Kevin Yoder,republican,176022,343113,0.5130146628078797
2016,KS-3,Kansas,KS,3,False,Steven A. Hohe,other,27791,343113,0.08099663959103852
2016,KS-3,Kansas,KS,3,False,Jay Sidie,democrat,139300,343113,0.40598869760108186
2016,KS-4,Kansas,KS,4,False,Gorden J . Bakken,other,7737,275251,0.02810888970430625
2016,KS-4,Kansas,KS,4,False,Miranda Allen,other,19021,275251,0.06910419943978405
2016,KS-4,Kansas,KS,4,False,Mike Pompeo,republican,166998,275251,0.6067116922372671
2016,KS-4,Kansas,KS,4,False,Daniel B. Giroux,democrat,81495,275251,0.2960752186186426
2016,KY-1,Kentucky,KY,1,False,Samuel L. Gaskins,democrat,81710,299001,0.2732766780044214
2016,KY-1,Kentucky,KY,1,False,,other,332,299001,0.0011103641793840154
2016,KY-1,Kentucky,KY,1,False,James R. Comer,republican,216959,299001,0.7256129578161946
2016,KY-2,Kentucky,KY,2,False,Brett Guthrie,republican,251825,251825,1.0
2016,KY-3,Kentucky,KY,3,False,John A. Yarmuth,democrat,212401,334494,0.6349919580022362
2016,KY-3,Kentucky,KY,3,False,Harold Bratcher,republican,122093,334494,0.36500804199776377
2016,KY-4,Kentucky,KY,4,False,Calvin Sidle,democrat,94065,327987,0.28679490345653946
2016,KY-4,Kentucky,KY,4,False,Thomas Massie,republican,233922,327987,0.7132050965434605
2016,KY-5,Kentucky,KY,5,False,Harold Rogers,republican,221242,221242,1.0
2016,KY-6,Kentucky,KY,6,False,Nancy Jo Kemper,democrat,128728,330827,0.3891097159542601
2016,KY-6,Kentucky,KY,6,False,Andy Barr,republican,202099,330827,0.61089028404574
2016,LA-1,Louisiana,LA,1,False,Howard Kearney,other,9405,326788,0.028780126565234952
2016,LA-1,Louisiana,LA,1,False,Eliot Barron,other,6717,326788,0.02055461032840863
2016,LA-1,Louisiana,LA,1,False,Lee Ann Dugas,democrat,41840,326788,0.1280340771386954
2016,LA-1,Louisiana,LA,1,False,Steve Scalise,republican,243645,326788,0.745575112917243
2016,LA-1,Louisiana,LA,1,False,"Joseph """"Joe"""" Swider",democrat,9237,326788,0.028266031800433307
2016,LA-1,Louisiana,LA,1,False,Chuemai Yang,other,3236,326788,0.009902444398203116
2016,LA-1,Louisiana,LA,1,False,Danil Ezekiel Faust,democrat,12708,326788,0.038887596851781586
2016,LA-2,Louisiana,LA,2,False,Cedric L. Richmond,democrat,198289,284269,0.6975400061209629
2016,LA-2,Louisiana,LA,2,False,Kenneth Cutno,democrat,28855,284269,0.10150596793881851
2016,LA-2,Louisiana,LA,2,False,"Melvin L. """"Kip"""" Holden",democrat,57125,284269,0.2009540259402186
2016,LA-3,Louisiana,LA,3,False,"""""Gus"""" Rantz",republican,25662,282443,0.09085727031648863
2016,LA-3,Louisiana,LA,3,False,Guy McLendon,other,2937,282443,0.010398558293177738
2016,LA-3,Louisiana,LA,3,False,Herman L. Vidrine,republican,1357,282443,0.004804509228410688
2016,LA-3,Louisiana,LA,3,False,Bryan Barrilleaux,republican,6223,282443,0.022032764132940096
2016,LA-3,Louisiana,LA,3,False,Grover Joseph Rees,republican,2457,282443,0.008699100349451039
2016,LA-3,Louisiana,LA,3,False,"Kenny P. Scelfo, Sr.",other,2670,282443,0.009453234811979763
2016,LA-3,Louisiana,LA,3,False,Larry Rader,democrat,27830,282443,0.09853315536232089
2016,LA-3,Louisiana,LA,3,False,Scott A. Angelle,republican,60762,282443,0.2151301324515035
2016,LA-3,Louisiana,LA,3,False,Clay Higgins,republican,77671,282443,0.2749970790566592
2016,LA-3,Louisiana,LA,3,False,"Jacob """"Dorian Phibian"""" Hebert",democrat,28385,282443,0.10049815360975489
2016,LA-3,Louisiana,LA,3,False,Brett Geymann,republican,21607,282443,0.07650039122938079
2016,LA-3,Louisiana,LA,3,False,"""""Greg"""" Ellison",republican,24882,282443,0.08809565115793275
2016,LA-4,Louisiana,LA,4,False,Mark David Halverson,other,3149,268761,0.011716729733852753
2016,LA-4,Louisiana,LA,4,False,"Ralph """"Trey"""" Baucum",republican,50412,268761,0.18757185752397112
2016,LA-4,Louisiana,LA,4,False,"""""Rick"""" John",republican,13220,268761,0.049188684370128105
2016,LA-4,Louisiana,LA,4,False,Marshall Jones,democrat,46579,268761,0.17331011567898616
2016,LA-4,Louisiana,LA,4,False,Oliver Jenkins,republican,44521,268761,0.16565275467794807
2016,LA-4,Louisiana,LA,4,False,Kenneth J. Krefft,other,2493,268761,0.009275899405047607
2016,LA-4,Louisiana,LA,4,False,Elbert Guillory,republican,21017,268761,0.07819958997027099
2016,LA-4,Louisiana,LA,4,False,"""""Mike"""" Johnson",republican,87370,268761,0.32508436863979523
2016,LA-5,Louisiana,LA,5,False,Ralph Lee Abraham,republican,208545,255662,0.8157058929367681
2016,LA-5,Louisiana,LA,5,False,Billy Burkette,republican,47117,255662,0.18429410706323193
2016,LA-6,Louisiana,LA,6,False,Devin Lance Graham,other,3218,331098,0.00971917679961824
2016,LA-6,Louisiana,LA,6,False,Robert Lamar ___£___Bob___£__ Bell,republican,33592,331098,0.10145636639303167
2016,LA-6,Louisiana,LA,6,False,Jermaine Sampson,democrat,29822,331098,0.090070009483597
2016,LA-6,Louisiana,LA,6,False,Richard M. Fontanesi,other,7603,331098,0.022962989809663603
2016,LA-6,Louisiana,LA,6,False,Richard Lieberman,democrat,49380,331098,0.14914013373683924
2016,LA-6,Louisiana,LA,6,False,Garret Graves,republican,207483,331098,0.6266513237772502
2016,ME-1,Maine,ME,1,False,Mark I. Holbrook,republican,164569,406942,0.40440406741009777
2016,ME-1,Maine,ME,1,False,Blank Vote,other,14551,406942,0.03575693833519273
2016,ME-1,Maine,ME,1,False,Chellie Pingree,democrat,227546,406942,0.5591607649247313
2016,ME-1,Maine,ME,1,False,,other,276,406942,0.0006782293299782278
2016,ME-2,Maine,ME,2,False,Blank Vote,other,12703,364886,0.034813613018860684
2016,ME-2,Maine,ME,2,False,Emily Ann Cain,democrat,159081,364886,0.435974523549821
2016,ME-2,Maine,ME,2,False,Bruce Poliquin,republican,192878,364886,0.5285979730655602
2016,ME-2,Maine,ME,2,False,,other,224,364886,0.0006138903657580723
2016,MD-1,Maryland,MD,1,False,Matt Beers,other,15370,362097,0.042447189565227
2016,MD-1,Maryland,MD,1,False,Joe Werner,democrat,103622,362097,0.286171937353803
2016,MD-1,Maryland,MD,1,False,,other,531,362097,0.0014664578828325007
2016,MD-1,Maryland,MD,1,False,Andy Harris,republican,242574,362097,0.6699144151981375
2016,MD-2,Maryland,MD,2,False,,other,592,309480,0.0019128861315755462
2016,MD-2,Maryland,MD,2,False,C. A. Dutch Ruppersberger,democrat,192183,309480,0.6209868165955796
2016,MD-2,Maryland,MD,2,False,Kristin S. Kasprzak,other,14128,309480,0.04565076903192452
2016,MD-2,Maryland,MD,2,False,Pat McDonough,republican,102577,309480,0.3314495282409203
2016,MD-3,Maryland,MD,3,False,,other,63,339675,0.00018547140649149922
2016,MD-3,Maryland,MD,3,False,Nnabu Eze,other,9461,339675,0.027853094870096417
2016,MD-3,Maryland,MD,3,False,Mark Plaster,republican,115048,339675,0.33870022815926987
2016,MD-3,Maryland,MD,3,False,John P. Sarbanes,democrat,214640,339675,0.6318981379259586
2016,MD-3,Maryland,MD,3,False,,other,463,339675,0.0013630676381835578
2016,MD-4,Maryland,MD,4,False,,other,513,320650,0.0015998752533915484
2016,MD-4,Maryland,MD,4,False,Benjamin Lee Krause,other,5744,320650,0.01791361297364728
2016,MD-4,Maryland,MD,4,False,George E. McDermott,republican,68670,320650,0.21415874005925464
2016,MD-4,Maryland,MD,4,False,Kamesha T. Clark,other,8204,320650,0.025585529393419616
2016,MD-4,Maryland,MD,4,False,Anthony G. Brown,democrat,237501,320650,0.7406861063464837
2016,MD-4,Maryland,MD,4,False,,other,18,320650,5.6135973803212225e-05
2016,MD-5,Maryland,MD,5,False,Steny H. Hoyer,democrat,242989,360634,0.6737828380019633
2016,MD-5,Maryland,MD,5,False,Mark Arness,republican,105931,360634,0.2937354769655662
2016,MD-5,Maryland,MD,5,False,Jason Summers,other,11078,360634,0.030718124192394506
2016,MD-5,Maryland,MD,5,False,,other,636,360634,0.0017635608400760883
2016,MD-6,Maryland,MD,6,False,Amie Hoeber,republican,133081,331973,0.4008789871465451
2016,MD-6,Maryland,MD,6,False,George Gluck,other,5824,331973,0.01754359541287996
2016,MD-6,Maryland,MD,6,False,,other,306,331973,0.0009217617095366189
2016,MD-6,Maryland,MD,6,False,David L. Howser,other,6889,331973,0.020751687637247607
2016,MD-6,Maryland,MD,6,False,,other,103,331973,0.0003102661963472933
2016,MD-6,Maryland,MD,6,False,John K. Delaney,democrat,185770,331973,0.5595937018974435
2016,MD-7,Maryland,MD,7,False,Elijah E. Cummings,democrat,238838,318912,0.7489150612081076
2016,MD-7,Maryland,MD,7,False,Myles B. Hoenig,other,9715,318912,0.03046294902669075
2016,MD-7,Maryland,MD,7,False,,other,202,318912,0.000633403572145294
2016,MD-7,Maryland,MD,7,False,,other,17,318912,5.3306241220148505e-05
2016,MD-7,Maryland,MD,7,False,Corrogan R. Vaughn,republican,69556,318912,0.21810405378286174
2016,MD-7,Maryland,MD,7,False,,other,584,318912,0.0018312261689745135
2016,MD-8,Maryland,MD,8,False,Dan Cox,republican,124651,364324,0.34214325710082233
2016,MD-8,Maryland,MD,8,False,Jasen Wunder,other,7283,364324,0.01999044806271341
2016,MD-8,Maryland,MD,8,False,Nancy Wallace,other,11201,364324,0.030744611938823684
2016,MD-8,Maryland,MD,8,False,,other,5,364324,1.3724047825561863e-05
2016,MD-8,Maryland,MD,8,False,Jamie Raskin,democrat,220657,364324,0.6056614442090008
2016,MD-8,Maryland,MD,8,False,,other,527,364324,0.0014465146408142204
2016,MA-1,Massachusetts,MA,1,False,Other,other,721,349676,0.0020619087383749526
2016,MA-1,Massachusetts,MA,1,False,Richard E. Neal,democrat,235803,349676,0.674347109896018
2016,MA-1,Massachusetts,MA,1,False,Blank Vote,other,28137,349676,0.08046591702032739
