year,congressional_district,state,state_abbreviation,district_number,special_election,candidate,party,candidate_votes,total_votes,candidate_percent
2016,MO-3,Missouri,MO,3,False,Dan Hogan,other,11962,368333,0.032476047489635736
2016,MO-3,Missouri,MO,3,False,,other,10,368333,2.714934583651207e-05
2016,MO-3,Missouri,MO,3,False,Kevin Miller,democrat,102891,368333,0.2793423342464563
2016,MO-3,Missouri,MO,3,False,Blaine Luetkemeyer,republican,249865,368333,0.6783671297440088
2016,MO-3,Missouri,MO,3,False,Doanita Simmons,other,3605,368333,0.0097873391740626
2016,MO-4,Missouri,MO,4,False,Gordon Christensen,democrat,92510,332234,0.2784483225678287
2016,MO-4,Missouri,MO,4,False,Vicky Hartzler,republican,225348,332234,0.6782809706411745
2016,MO-4,Missouri,MO,4,False,Mark Bliss,other,14376,332234,0.043270706790996705
2016,MO-5,Missouri,MO,5,False,Roy Welborn,other,9733,324270,0.03001511086440312
2016,MO-5,Missouri,MO,5,False,Jacob Turk,republican,123771,324270,0.3816911832731983
2016,MO-5,Missouri,MO,5,False,Emanuel Cleaver,democrat,190766,324270,0.5882937058623986
2016,MO-6,Missouri,MO,6,False,Sam Graves,republican,238388,350444,0.6802456312563491
2016,MO-6,Missouri,MO,6,False,David M. Blackwell,democrat,99692,350444,0.2844734108730639
2016,MO-6,Missouri,MO,6,False,Mike Diel,other,4241,350444,0.012101790871009347
2016,MO-6,Missouri,MO,6,False,Russ Lee Monchil,other,8123,350444,0.02317916699957768
2016,MO-7,Missouri,MO,7,False,Benjamin T. Brixey,other,17153,338607,0.05065754694970866
2016,MO-7,Missouri,MO,7,False,Billy Long,republican,228692,338607,0.6753906446115999
2016,MO-7,Missouri,MO,7,False,,other,6,338607,1.771965730182778e-05
2016,MO-7,Missouri,MO,7,False,"Genevieve """"Gen"""" Williams",democrat,92756,338607,0.27393408878138964
2016,MO-8,Missouri,MO,8,False,Jonathan Shell,other,9070,308871,0.02936500998798851
2016,MO-8,Missouri,MO,8,False,Jason Smith,republican,229792,308871,0.7439740215170735
2016,MO-8,Missouri,MO,8,False,Dave Cowell,democrat,70009,308871,0.22666096849493803
2016,MT-0,Montana,MT,0,False,Rick Breckenridge,other,16554,507831,0.032597458603354265
2016,MT-0,Montana,MT,0,False,Denise Juneau,democrat,205919,507831,0.40548725855648826
2016,MT-0,Montana,MT,0,False,Ryan K. Zinke,republican,285358,507831,0.5619152828401575
2016,NE-1,Nebraska,NE,1,False,Daniel M. Wik,democrat,83467,273238,0.3054736164076739
2016,NE-1,Nebraska,NE,1,False,Jeff Fortenberry,republican,189771,273238,0.6945263835923261
2016,NE-2,Nebraska,NE,2,False,Don Bacon,republican,141066,288308,0.48928923234873817
2016,NE-2,Nebraska,NE,2,False,Steven Laird,other,9640,288308,0.03343646378178892
2016,NE-2,Nebraska,NE,2,False,Brad Ashford,democrat,137602,288308,0.47727430386947295
2016,NE-3,Nebraska,NE,3,False,Adrian Smith,republican,226720,226720,1.0
2016,NV-1,Nevada,NV,1,False,Dina Titus,democrat,116537,188352,0.618719206591913
2016,NV-1,Nevada,NV,1,False,Kamau A. Bakari,other,3744,188352,0.019877675840978593
2016,NV-1,Nevada,NV,1,False,Reuben D'Silva,other,13897,188352,0.07378206761807679
2016,NV-1,Nevada,NV,1,False,Mary Perry,republican,54174,188352,0.2876210499490316
2016,NV-2,Nevada,NV,2,False,Drew Knight,other,6245,313336,0.019930681441009013
2016,NV-2,Nevada,NV,2,False,John H. Everhart,other,8693,313336,0.027743380907396534
2016,NV-2,Nevada,NV,2,False,"H. D. """"Chip"""" Evans",democrat,115722,313336,0.36932238874562767
2016,NV-2,Nevada,NV,2,False,Mark E. Amodei,republican,182676,313336,0.5830035489059667
2016,NV-3,Nevada,NV,3,False,David Goossen,other,9566,310963,0.03076250229126938
2016,NV-3,Nevada,NV,3,False,Danny Tarkanian,republican,142926,310963,0.45962381376562483
2016,NV-3,Nevada,NV,3,False,Warren Markowitz,other,11602,310963,0.037309905036933655
2016,NV-3,Nevada,NV,3,False,Jacky Rosen,democrat,146869,310963,0.4723037789061721
2016,NV-4,Nevada,NV,4,False,Cresent Hardy,republican,118328,265846,0.4450997946179367
2016,NV-4,Nevada,NV,4,False,Mike Little,other,8327,265846,0.03132264544134574
2016,NV-4,Nevada,NV,4,False,Steve Brown,other,10206,265846,0.03839064721680973
2016,NV-4,Nevada,NV,4,False,Ruben Kihuen,democrat,128985,265846,0.48518691272390785
2016,NH-1,New Hampshire,NH,1,False,scatter,other,194,365984,0.000530077817609513
2016,NH-1,New Hampshire,NH,1,False,Shawn P. O'Connor,other,34735,365984,0.0949085205910641
2016,NH-1,New Hampshire,NH,1,False,Carol Shea-Porter,democrat,162080,365984,0.442860890093556
2016,NH-1,New Hampshire,NH,1,False,,other,55,365984,0.0001502797936521815
2016,NH-1,New Hampshire,NH,1,False,Brendan Kelly,other,6074,365984,0.01659635393897001
2016,NH-1,New Hampshire,NH,1,False,,other,163,365984,0.00044537466118737434
2016,NH-1,New Hampshire,NH,1,False,Robert Lombardo,other,5507,365984,0.015047105884410248
2016,NH-1,New Hampshire,NH,1,False,Frank C. Guinta,republican,157176,365984,0.42946139721955057
2016,NH-2,New Hampshire,NH,2,False,Jim Lawrence,republican,158825,350509,0.4531267385430902
2016,NH-2,New Hampshire,NH,2,False,John J. Babiarz,other,17076,350509,0.04871772194151933
2016,NH-2,New Hampshire,NH,2,False,scatter,other,237,350509,0.0006761595280007076
2016,NH-2,New Hampshire,NH,2,False,Ann M. Kuster,democrat,174371,350509,0.4974793799873898
2016,NJ-1,New Jersey,NJ,1,False,Donald Norcross,democrat,183231,305473,0.5998271532999643
2016,NJ-1,New Jersey,NJ,1,False,Bob Patterson,republican,112388,305473,0.36791467658352783
2016,NJ-1,New Jersey,NJ,1,False,Scot John Tomaszewski,other,5473,305473,0.017916477069986544
2016,NJ-1,New Jersey,NJ,1,False,Michael Berman,other,1971,305473,0.006452288745650189
2016,NJ-1,New Jersey,NJ,1,False,William F. Sihr IV,other,2410,305473,0.007889404300871108
2016,NJ-2,New Jersey,NJ,2,False,Frank A. LoBiondo,republican,176338,297795,0.5921456035191994
2016,NJ-2,New Jersey,NJ,2,False,David H. Cole,democrat,110838,297795,0.3721956379388506
2016,NJ-2,New Jersey,NJ,2,False,Eric Beechwood,other,1387,297795,0.004657566446716701
2016,NJ-2,New Jersey,NJ,2,False,Gabriel Brian Franco,other,1232,297795,0.00413707416175557
2016,NJ-2,New Jersey,NJ,2,False,John Ordille,other,3773,297795,0.012669789620376433
2016,NJ-2,New Jersey,NJ,2,False,James Keenan,other,2653,297795,0.008908813109689552
2016,NJ-2,New Jersey,NJ,2,False,Steven Fenichel,other,1574,297795,0.005285515203411743
2016,NJ-3,New Jersey,NJ,3,False,Frederick John Lavergne,democrat,127526,328060,0.3887276717673596
2016,NJ-3,New Jersey,NJ,3,False,"Lawrence W. Berlinski, Jr.",other,5938,328060,0.01810034749740901
2016,NJ-3,New Jersey,NJ,3,False,Thomas MacArthur,republican,194596,328060,0.5931719807352314
2016,NJ-4,New Jersey,NJ,4,False,Lorna Phillipson,democrat,111532,332684,0.33524906517896863
2016,NJ-4,New Jersey,NJ,4,False,Christopher H. Smith,republican,211992,332684,0.6372172992990345
2016,NJ-4,New Jersey,NJ,4,False,Hank Schroeder,other,5840,332684,0.017554195572976158
2016,NJ-4,New Jersey,NJ,4,False,Jeremy Marcus,other,3320,332684,0.009979439949020692
2016,NJ-5,New Jersey,NJ,5,False,Scott Garrett,republican,157690,337701,0.46695153404935136
2016,NJ-5,New Jersey,NJ,5,False,Joshua S. Gottheimer,democrat,172587,337701,0.5110645215738182
2016,NJ-5,New Jersey,NJ,5,False,Claudio Belusic,other,7424,337701,0.02198394437683039
2016,NJ-6,New Jersey,NJ,6,False,Judith Shamy,other,1720,263435,0.0065291248315523754
2016,NJ-6,New Jersey,NJ,6,False,Rajit B. Malliah,other,1912,263435,0.007257957370888454
2016,NJ-6,New Jersey,NJ,6,False,"Frank Pallone, Jr.",democrat,167895,263435,0.6373298916241198
2016,NJ-6,New Jersey,NJ,6,False,Brent Sonnek-Schmelz,republican,91908,263435,0.34888302617343936
2016,NJ-7,New Jersey,NJ,7,False,Leonard Lance,republican,185850,343635,0.5408354795058711
2016,NJ-7,New Jersey,NJ,7,False,Peter Jacob,democrat,148188,343635,0.4312366318913964
2016,NJ-7,New Jersey,NJ,7,False,"Arthur T. Haussmann, Jr.",other,4254,343635,0.012379414204024618
2016,NJ-7,New Jersey,NJ,7,False,Dan O'Neill,other,5343,343635,0.015548474398707931
2016,NJ-8,New Jersey,NJ,8,False,Albio Sires,democrat,134733,174889,0.7703915054691833
2016,NJ-8,New Jersey,NJ,8,False,Agha Khan,republican,32337,174889,0.18490013665810887
2016,NJ-8,New Jersey,NJ,8,False,Dan Delaney,other,3438,174889,0.019658183190480818
2016,NJ-8,New Jersey,NJ,8,False,Pablo Olivera,other,4381,174889,0.025050174682227012
2016,NJ-9,New Jersey,NJ,9,False,Hector L. Castillo,republican,65376,233242,0.28029257166376553
2016,NJ-9,New Jersey,NJ,9,False,"Bill Pascrell, Jr.",democrat,162642,233242,0.6973100899494945
2016,NJ-9,New Jersey,NJ,9,False,Jeff Boss,other,1897,233242,0.008133183560422223
2016,NJ-9,New Jersey,NJ,9,False,Diego Rivera,other,3327,233242,0.01426415482631773
2016,NJ-10,New Jersey,NJ,10,False,David H. Pinckney,republican,26450,222771,0.11873179184005099
2016,NJ-10,New Jersey,NJ,10,False,"Donald M. Payne, Jr.",democrat,190856,222771,0.8567362897325056
2016,NJ-10,New Jersey,NJ,10,False,Joanne Miller,other,3719,222771,0.01669427349161246
2016,NJ-10,New Jersey,NJ,10,False,Aaron Walter Fraser,other,1746,222771,0.007837644935830966
2016,NJ-11,New Jersey,NJ,11,False,Thomas DePasquale,other,7056,334992,0.02106318956870612
2016,NJ-11,New Jersey,NJ,11,False,Jeff Hetrick,other,3475,334992,0.010373382050914648
2016,NJ-11,New Jersey,NJ,11,False,Joseph M. Wenzel,democrat,130162,334992,0.3885525624492525
2016,NJ-11,New Jersey,NJ,11,False,Rodney P. Frelinghuysen,republican,194299,334992,0.5800108659311267
2016,NJ-12,New Jersey,NJ,12,False,Steven Welzer,other,2135,288634,0.007396910966829965
2016,NJ-12,New Jersey,NJ,12,False,Steven J. Uccio,republican,92407,288634,0.32015285794466347
2016,NJ-12,New Jersey,NJ,12,False,Thomas Fitzpatrick,other,2482,288634,0.008599125536146123
2016,NJ-12,New Jersey,NJ,12,False,Michael R. Bollentin,other,1311,288634,0.004542084439116667
2016,NJ-12,New Jersey,NJ,12,False,Bonnie Watson Coleman,democrat,181430,288634,0.628581525392019
2016,NJ-12,New Jersey,NJ,12,False,R. Edward Forchion,other,6094,288634,0.02111324376199616
2016,NJ-12,New Jersey,NJ,12,False,Robert Shapiro,other,2775,288634,0.009614251959228642
2016,NM-1,New Mexico,NM,1,False,Richard Gregory Priem,republican,96879,277967,0.34852698341889504
2016,NM-1,New Mexico,NM,1,False,Michelle Lujan Grisham,democrat,181088,277967,0.6514730165811049
2016,NM-2,New Mexico,NM,2,False,Merrie Lee Soules,democrat,85232,228817,0.3724898062643947
2016,NM-2,New Mexico,NM,2,False,,other,70,228817,0.0003059213257756198
2016,NM-2,New Mexico,NM,2,False,Stevan Pearce,republican,143515,228817,0.6272042724098297
2016,NM-3,New Mexico,NM,3,False,Michael H. Romero,republican,102730,273342,0.3758295468680261
2016,NM-3,New Mexico,NM,3,False,Ben Ray Luj_n,democrat,170612,273342,0.6241704531319738
2016,NY-1,New York,NY,1,False,Lee M. Zeldin,other,23327,341554,0.06829666758404235
2016,NY-1,New York,NY,1,False,Anna E. Throne-Holst,other,2496,341554,0.007307775637234522
2016,NY-1,New York,NY,1,False,Anna E. Throne-Holst,other,6147,341554,0.017997154183525883
2016,NY-1,New York,NY,1,False,Lee M. Zeldin,republican,158409,341554,0.46378903482319045
2016,NY-1,New York,NY,1,False,Void Vote,other,122,341554,0.0003571909566276489
2016,NY-1,New York,NY,1,False,Lee M. Zeldin,other,843,341554,0.002468130954402525
2016,NY-1,New York,NY,1,False,scatter,other,113,341554,0.0003308408040895437
2016,NY-1,New York,NY,1,False,Blank Vote,other,17542,341554,0.05135937509149358
2016,NY-1,New York,NY,1,False,Anna E. Throne-Holst,democrat,126635,341554,0.37076128518477314
2016,NY-1,New York,NY,1,False,Lee M. Zeldin,other,5920,341554,0.01733254478062034
2016,NY-2,New York,NY,2,False,DuWayne Gregory,democrat,102270,317552,0.32205748979694665
2016,NY-2,New York,NY,2,False,Peter T. King,other,2125,317552,0.006691817403133975
2016,NY-2,New York,NY,2,False,Peter T. King,republican,157571,317552,0.4962053458961052
2016,NY-2,New York,NY,2,False,DuWayne Gregory,other,3213,317552,0.01011802791353857
2016,NY-2,New York,NY,2,False,Void Vote,other,297,317552,0.0009352798911674309
2016,NY-2,New York,NY,2,False,Blank Vote,other,24660,317552,0.07765657278178062
2016,NY-2,New York,NY,2,False,DuWayne Gregory,other,4017,317552,0.0126498967098302
2016,NY-2,New York,NY,2,False,DuWayne Gregory,other,1438,317552,0.004528392200332544
2016,NY-2,New York,NY,2,False,Peter T. King,other,21810,317552,0.06868166473522447
2016,NY-2,New York,NY,2,False,scatter,other,151,317552,0.00047551267194034363
2016,NY-3,New York,NY,3,False,Thomas R. Suozzi,democrat,171775,350966,0.48943487403338215
2016,NY-3,New York,NY,3,False,Blank Vote,other,26483,350966,0.07545745171896993
2016,NY-3,New York,NY,3,False,scatter,other,175,350966,0.0004986237983166461
2016,NY-3,New York,NY,3,False,Jack M. Martins,other,1940,350966,0.005527600964195962
2016,NY-3,New York,NY,3,False,Jack M. Martins,other,16410,350966,0.04675666588786378
2016,NY-3,New York,NY,3,False,Void Vote,other,229,350966,0.0006524848560829254
2016,NY-3,New York,NY,3,False,Jack M. Martins,republican,133954,350966,0.38167229874118863
2016,NY-4,New York,NY,4,False,Kathleen M. Rice,other,4562,343179,0.013293354197080824
2016,NY-4,New York,NY,4,False,David H. Gurfein,republican,111246,343179,0.3241631918036943
2016,NY-4,New York,NY,4,False,Void Vote,other,356,343179,0.0010373595120913577
2016,NY-4,New York,NY,4,False,Blank Vote,other,29823,343179,0.08690217058736112
2016,NY-4,New York,NY,4,False,scatter,other,139,343179,0.0004050364387098278
2016,NY-4,New York,NY,4,False,David H. Gurfein,other,1055,343179,0.0030741974304954556
2016,NY-4,New York,NY,4,False,David H. Gurfein,other,14137,343179,0.041194245568639105
2016,NY-4,New York,NY,4,False,Kathleen M. Rice,democrat,181861,343179,0.529930444461928
2016,NY-5,New York,NY,5,False,Blank Vote,other,15357,249236,0.06161629941100002
2016,NY-5,New York,NY,5,False,Michael A. O'Reilly,republican,26791,249236,0.10749249707104913
2016,NY-5,New York,NY,5,False,Frank Francois,other,3587,249236,0.014391981896676242
2016,NY-5,New York,NY,5,False,Michael A. O'Reilly,other,3521,249236,0.014127172639586577
2016,NY-5,New York,NY,5,False,Gregory W. Meeks,other,1963,249236,0.007876069267682036
2016,NY-5,New York,NY,5,False,Gregory W. Meeks,democrat,197852,249236,0.7938339565712819
2016,NY-5,New York,NY,5,False,Void Vote,other,26,249236,0.00010431879824744419
2016,NY-5,New York,NY,5,False,scatter,other,139,249236,0.0005577043444767208
2016,NY-6,New York,NY,6,False,Danniel S. Maio,other,4875,210378,0.023172575079143255
2016,NY-6,New York,NY,6,False,Danniel S. Maio,republican,43770,210378,0.20805407409520008
2016,NY-6,New York,NY,6,False,scatter,other,187,210378,0.0008888762132922644
2016,NY-6,New York,NY,6,False,Grace Meng,democrat,131463,210378,0.6248894846419303
2016,NY-6,New York,NY,6,False,Grace Meng,other,5043,210378,0.02397113766648604
2016,NY-6,New York,NY,6,False,Danniel S. Maio,other,1972,210378,0.009373603703809333
2016,NY-6,New York,NY,6,False,Blank Vote,other,20945,210378,0.0995588892374678
2016,NY-6,New York,NY,6,False,Haris Bhatti,other,2123,210378,0.010091359362671002
2016,NY-7,New York,NY,7,False,Allan E. Romaguera,republican,14941,206983,0.07218467217114449
2016,NY-7,New York,NY,7,False,Allan E. Romaguera,other,2537,206983,0.012257045264586947
2016,NY-7,New York,NY,7,False,Nydia M. Vel_quez,democrat,165819,206983,0.8011237637873642
2016,NY-7,New York,NY,7,False,scatter,other,266,206983,0.0012851296966417533
2016,NY-7,New York,NY,7,False,Nydia M. Vel_quez,other,6327,206983,0.030567727784407413
2016,NY-7,New York,NY,7,False,Blank Vote,other,17093,206983,0.08258166129585522
2016,NY-8,New York,NY,8,False,Hakeem S. Jeffries,democrat,203235,257602,0.7889496199563668
2016,NY-8,New York,NY,8,False,Hakeem S. Jeffries,other,11360,257602,0.04409903649816383
2016,NY-8,New York,NY,8,False,scatter,other,207,257602,0.0008035651897112601
2016,NY-8,New York,NY,8,False,Daniel J. Cavanagh,other,15401,257602,0.05978602650600539
2016,NY-8,New York,NY,8,False,Blank Vote,other,27399,257602,0.10636175184975272
2016,NY-9,New York,NY,9,False,Blank Vote,other,24759,256853,0.0963936570723332
2016,NY-9,New York,NY,9,False,Alan Bellone,other,17576,256853,0.06842824494944579
2016,NY-9,New York,NY,9,False,scatter,other,329,256853,0.00128088829018933
2016,NY-9,New York,NY,9,False,Yvette D. Clarke,other,15303,256853,0.05957882524245386
2016,NY-9,New York,NY,9,False,Yvette D. Clarke,democrat,198886,256853,0.7743183844455778
2016,NY-10,New York,NY,10,False,Jerrold Nadler,other,10471,266516,0.0392884479731048
2016,NY-10,New York,NY,10,False,Philip Rosenthal,other,2093,266516,0.007853187050683635
2016,NY-10,New York,NY,10,False,Philip Rosenthal,republican,46275,266516,0.17362935058307943
2016,NY-10,New York,NY,10,False,Blank Vote,other,19991,266516,0.07500862987587988
2016,NY-10,New York,NY,10,False,Jerrold Nadler,democrat,180117,266516,0.6758205886325774
2016,NY-10,New York,NY,10,False,scatter,other,297,266516,0.0011143796244878356
2016,NY-10,New York,NY,10,False,Jerrold Nadler,other,1783,266516,0.006690029866874784
2016,NY-10,New York,NY,10,False,Philip Rosenthal,other,4646,266516,0.017432349277341698
2016,NY-10,New York,NY,10,False,Philip Rosenthal,other,843,266516,0.003163037115970523
2016,NY-11,New York,NY,11,False,Daniel M. Donovan Jr.,other,5636,251718,0.02239013499233269
2016,NY-11,New York,NY,11,False,Daniel M. Donovan Jr.,other,1868,251718,0.007421002868289117
2016,NY-11,New York,NY,11,False,Daniel M. Donovan Jr.,other,12824,251718,0.050945899776734284
2016,NY-11,New York,NY,11,False,Blank Vote,other,19401,251718,0.07707434510046958
2016,NY-11,New York,NY,11,False,Henry J. Bardel,other,3906,251718,0.015517364669987843
2016,NY-11,New York,NY,11,False,scatter,other,220,251718,0.0008739939138242001
2016,NY-11,New York,NY,11,False,Richard A. Reichard,democrat,85257,251718,0.33870045050413555
2016,NY-11,New York,NY,11,False,Daniel M. Donovan Jr.,republican,122606,251718,0.4870768081742267
2016,NY-12,New York,NY,12,False,Carolyn B. Maloney,democrat,230153,312289,0.7369872137667353
2016,NY-12,New York,NY,12,False,Blank Vote,other,18219,312289,0.05834019129716384
2016,NY-12,New York,NY,12,False,Robert Ardini,republican,49398,312289,0.15818040340838133
2016,NY-12,New York,NY,12,False,scatter,other,314,312289,0.001005478899352843
2016,NY-12,New York,NY,12,False,Carolyn B. Maloney,other,14205,312289,0.04548671262836667
2016,NY-13,New York,NY,13,False,Adriano Espaillat,democrat,207194,255239,0.8117646597894522
2016,NY-13,New York,NY,13,False,Blank Vote,other,21502,255239,0.08424261182656255
2016,NY-13,New York,NY,13,False,Robert A. Evans Jr.,republican,13129,255239,0.05143806393223606
2016,NY-13,New York,NY,13,False,Daniel Vila Rivera,other,8248,255239,0.03231481082436462
2016,NY-13,New York,NY,13,False,scatter,other,329,255239,0.0012889879681396651
2016,NY-13,New York,NY,13,False,Robert A. Evans Jr.,other,2960,255239,0.011596973816697291
2016,NY-13,New York,NY,13,False,Scott Lloyd Fenstermaker,other,1877,255239,0.007353891842547573
2016,NY-14,New York,NY,14,False,Joseph Crowley,democrat,138367,197301,0.7012990304154566
2016,NY-14,New York,NY,14,False,scatter,other,191,197301,0.0009680640240039331
2016,NY-14,New York,NY,14,False,Joseph Crowley,other,1903,197301,0.00964516145381929
2016,NY-14,New York,NY,14,False,Joseph Crowley,other,7317,197301,0.03708546839600407
2016,NY-14,New York,NY,14,False,Frank J. Spotorno,republican,26891,197301,0.1362942914632972
2016,NY-14,New York,NY,14,False,Blank Vote,other,18978,197301,0.09618805784055834
2016,NY-14,New York,NY,14,False,Frank J. Spotorno,other,3654,197301,0.018519926406860582
2016,NY-15,New York,NY,15,False,Jos_ E. Serrano,democrat,165688,193703,0.855371367505924
2016,NY-15,New York,NY,15,False,Eduardo Ramirez,other,2104,193703,0.010861989747190286
2016,NY-15,New York,NY,15,False,Blank Vote,other,19667,193703,0.10153172640588942
2016,NY-15,New York,NY,15,False,scatter,other,115,193703,0.0005936924053834995
2016,NY-15,New York,NY,15,False,Alejandro Vega,republican,6129,193703,0.03164122393561277
2016,NY-16,New York,NY,16,False,scatter,other,548,287556,0.0019057157562353071
2016,NY-16,New York,NY,16,False,Eliot L. Engel,other,8518,287556,0.029622056225569977
2016,NY-16,New York,NY,16,False,Derickson K. Lawrence,other,11825,287556,0.041122424849420636
2016,NY-16,New York,NY,16,False,Blank Vote,other,65326,287556,0.22717661951063445
2016,NY-16,New York,NY,16,False,Eliot L. Engel,other,2528,287556,0.008791331079859228
2016,NY-16,New York,NY,16,False,Eliot L. Engel,democrat,198811,287556,0.6913818525782804
2016,NY-17,New York,NY,17,False,Nita M. Lowey,other,15706,325571,0.048241397421760535
2016,NY-17,New York,NY,17,False,scatter,other,2055,325571,0.006311987247021387
2016,NY-17,New York,NY,17,False,Blank Vote,other,108978,325571,0.33472883027050937
2016,NY-17,New York,NY,17,False,Void Vote,other,8,325571,2.457221312709056e-05
2016,NY-17,New York,NY,17,False,Nita M. Lowey,democrat,193819,325571,0.5953202220099456
2016,NY-17,New York,NY,17,False,Nita M. Lowey,other,5005,325571,0.01537299083763603
2016,NY-18,New York,NY,18,False,scatter,other,98,319123,0.00030709162297922745
2016,NY-18,New York,NY,18,False,Sean Patrick Maloney,other,10356,319123,0.03245143722013142
2016,NY-18,New York,NY,18,False,Void Vote,other,45,319123,0.0001410114595312779
2016,NY-18,New York,NY,18,False,Sean Patrick Maloney,democrat,140951,319123,0.44168236071984784
2016,NY-18,New York,NY,18,False,Phil Oliva,republican,111117,319123,0.34819489663860015
2016,NY-18,New York,NY,18,False,Blank Vote,other,27551,319123,0.0863334827010275
2016,NY-18,New York,NY,18,False,Sean Patrick Maloney,other,8771,319123,0.027484700256640855
2016,NY-18,New York,NY,18,False,Sean Patrick Maloney,other,1982,319123,0.0062107713953553955
2016,NY-18,New York,NY,18,False,Phil Oliva,other,16968,319123,0.05317072100726052
2016,NY-18,New York,NY,18,False,Phil Oliva,other,1284,319123,0.004023526978625796
2016,NY-19,New York,NY,19,False,John J. Faso,other,8028,326588,0.02458142981371024
2016,NY-19,New York,NY,19,False,scatter,other,219,326588,0.0006705696473844722
2016,NY-19,New York,NY,19,False,John J. Faso,other,21353,326588,0.06538207160091614
2016,NY-19,New York,NY,19,False,John J. Faso,other,885,326588,0.0027098362462797164
2016,NY-19,New York,NY,19,False,Blank Vote,other,18823,326588,0.05763530809460237
2016,NY-19,New York,NY,19,False,Zephyr Teachout,democrat,125956,326588,0.3856724680637378
2016,NY-19,New York,NY,19,False,Void Vote,other,151,326588,0.00046235624089066346
2016,NY-19,New York,NY,19,False,Zephyr Teachout,other,15268,326588,0.04675003368158046
2016,NY-19,New York,NY,19,False,John J. Faso,republican,135905,326588,0.41613592661089815
2016,NY-20,New York,NY,20,False,Paul Tonko,other,10935,332499,0.03288731695433671
2016,NY-20,New York,NY,20,False,scatter,other,183,332499,0.0005503775951205868
2016,NY-20,New York,NY,20,False,Void Vote,other,169,332499,0.0005082722053299408
2016,NY-20,New York,NY,20,False,Paul Tonko,democrat,188428,332499,0.5667024562479888
2016,NY-20,New York,NY,20,False,Joe Vitollo,other,15902,332499,0.04782570774648946
2016,NY-20,New York,NY,20,False,Joe Vitollo,republican,83328,332499,0.2506112800339249
2016,NY-20,New York,NY,20,False,Blank Vote,other,18388,332499,0.05530242196217131
2016,NY-20,New York,NY,20,False,Paul Tonko,other,10622,332499,0.03194596073973155
2016,NY-20,New York,NY,20,False,Joe Vitollo,other,1508,332499,0.0045353519860210105
2016,NY-20,New York,NY,20,False,Paul Tonko,other,3036,332499,0.0091308545288858
2016,NY-21,New York,NY,21,False,Mike Derrick,other,6196,288611,0.02146834320244204
2016,NY-21,New York,NY,21,False,Elise M. Stefanik,other,15526,288611,0.05379559337655183
2016,NY-21,New York,NY,21,False,Elise M. Stefanik,other,964,288611,0.003340136030851215
2016,NY-21,New York,NY,21,False,Elise M. Stefanik,republican,152597,288611,0.5287289812238619
2016,NY-21,New York,NY,21,False,Blank Vote,other,15888,288611,0.05504987682382168
2016,NY-21,New York,NY,21,False,Void Vote,other,117,288611,0.00040538995395185905
2016,NY-21,New York,NY,21,False,Matthew J. Funiciello,other,12452,288611,0.04314457868896196
2016,NY-21,New York,NY,21,False,Elise M. Stefanik,other,8799,288611,0.03048740346002058
2016,NY-21,New York,NY,21,False,scatter,other,107,288611,0.00037074123993887964
2016,NY-21,New York,NY,21,False,Mike Derrick,democrat,75965,288611,0.2632089559995981
2016,NY-22,New York,NY,22,False,scatter,other,183,296086,0.0006180636706902724
2016,NY-22,New York,NY,22,False,Claudia Tenney,other,16157,296086,0.05456860506744662
2016,NY-22,New York,NY,22,False,Claudia Tenney,republican,113287,296086,0.3826151861283546
2016,NY-22,New York,NY,22,False,Martin Babinec,other,24595,296086,0.08306708186135109
2016,NY-22,New York,NY,22,False,Kim A. Myers,other,11532,296086,0.03894814344480996
2016,NY-22,New York,NY,22,False,Void Vote,other,142,296086,0.00047959038927879063
2016,NY-22,New York,NY,22,False,Martin Babinec,other,10043,296086,0.03391919915159785
2016,NY-22,New York,NY,22,False,Blank Vote,other,17413,296086,0.058810615834588596
2016,NY-22,New York,NY,22,False,Kim A. Myers,democrat,102734,296086,0.34697351445188224
2016,NY-23,New York,NY,23,False,Blank Vote,other,16402,296198,0.055375120696291
2016,NY-23,New York,NY,23,False,John F. Plumb,democrat,106600,296198,0.35989439496552983
2016,NY-23,New York,NY,23,False,Void Vote,other,61,296198,0.00020594332169697298
2016,NY-23,New York,NY,23,False,Tom Reed,other,876,296198,0.002957481144369645
2016,NY-23,New York,NY,23,False,Tom Reed,other,16420,296198,0.05543589085679174
2016,NY-23,New York,NY,23,False,Tom Reed,other,6790,296198,0.022923854988892566
2016,NY-23,New York,NY,23,False,scatter,other,101,296198,0.0003409881228097421
2016,NY-23,New York,NY,23,False,Tom Reed,republican,136964,296198,0.4624069034902329
2016,NY-23,New York,NY,23,False,John F. Plumb,other,11984,296198,0.04045942241338564
2016,NY-24,New York,NY,24,False,Void Vote,other,28,315429,8.876799533333967e-05
2016,NY-24,New York,NY,24,False,John Katko,other,1101,315429,0.003490484387928821
2016,NY-24,New York,NY,24,False,John Katko,republican,150330,315429,0.47658902637360545
2016,NY-24,New York,NY,24,False,Blank Vote,other,13286,315429,0.04212041378566968
2016,NY-24,New York,NY,24,False,Colleen Deacon,democrat,110550,315429,0.35047506728931077
2016,NY-24,New York,NY,24,False,John Katko,other,10931,315429,0.03465439132102628
2016,NY-24,New York,NY,24,False,John Katko,other,20399,315429,0.06467065488588557
2016,NY-24,New York,NY,24,False,scatter,other,314,315429,0.000995469661952452
2016,NY-24,New York,NY,24,False,Colleen Deacon,other,8490,315429,0.02691572429928764
